id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
FX1-001	OPERATIVO	L267-L267	If you haven't shipped hazardous materials via FedEx Ground before, contact your FedEx account executive first.		Antes de tu primer envio de mercancia peligrosa, contacta a tu courier (ejecutivo de cuenta o linea de mercancias peligrosas) para confirmar que acepta el producto y resolver dudas sobre su preparacion correcta.	El libro manda contactar al courier antes del primer envio de materiales peligrosos (L267), confirmar aceptabilidad de la mercancia (L1715) y consultar la linea de mercancias peligrosas sobre la preparacion (L1805); el paso lo concreta en la misma direccion sin datos nuevos.
FX1-003	OPERATIVO	L79-L87	Multiply length by width by height in inches.		Mide el largo, el ancho y el alto del paquete; el libro hace el calculo en pulgadas.	El libro pide medir largo, alto y ancho (L63) y multiplicarlos en pulgadas (L83); el paso generaliza la unidad a la que use el courier, misma direccion, sin dato nuevo.
FX1-007	OPERATIVO	L577-L579	When shipping multiple orchids, secure the pots in the shipping carton with enough space to keep plants separated during shipment.		Si envias varias orquideas, fija las macetas en la caja con espacio suficiente para mantener las plantas separadas: el contacto entre flores y hojas puede danarlas.	El libro pide separar las plantas cuando se envian varias orquideas; el paso extiende la instruccion a cualquier planta, misma direccion y sin dato nuevo.
FX1-008	OPERATIVO	L949-L949	Chipboard or paperboard boxes, paper envelopes, and plastic bags are unacceptable outer packaging.		Revisa que tu empaque exterior no sea uno de los que el libro declara inaceptables: cajas de carton delgado (chipboard o paperboard), sobres de papel y bolsas plasticas; el courier puede rechazar empaques que no cumplen.	El libro lista los empaques exteriores inaceptables (L949, L1161) y advierte que el courier puede rechazar empaques que no cumplen (L1249, L1025); confirmarlo con el courier antes de la recoleccion concreta eso sin dato nuevo.
FX1-010	OPERATIVO	L1749-L1749	All require a completed Shipper's Declaration for Dangerous Goods form.		Completa la Declaracion del Expedidor de Mercancias Peligrosas (Shipper's Declaration for Dangerous Goods) y asegurate de que todas las marcas, etiquetas y documentacion exigidas aparezcan en el envio.	El libro exige la declaracion completada en todo envio de mercancia peligrosa (L1749) y que toda la documentacion requerida aparezca (L1693, L1651); el paso lo concreta como guardar la documentacion con el envio, misma direccion.
FX1-011	FIEL	L195-L195	Remove or cross out any old address labels on the outer box.			El libro dice quitar o tachar etiquetas viejas de la caja exterior (L195) y quitar las etiquetas viejas de cajas reutilizadas (L113).
FX1-013	CONTRARIO	L181-L185	Use pressure-sensitive plastic tape, water-activated paper tape (minimum 60-lb. grade), or water-activated reinforced tape that is at least 2" wide.	Descartar la cinta de papel engomado (activada con agua)	Descarta cinta de celofan, cinta americana (duct tape), cinta de enmascarar (masking tape), cordel o cuerda para sellar; la cinta plastica sensible a la presion, la cinta de papel activada con agua (grado minimo 60 lb) o la cinta reforzada activada con agua, de al menos 2 pulgadas de ancho, si sirven.	El libro acepta expresamente la cinta de papel activada con agua (papel engomado) y solo prohibe celofan, duct tape, masking tape, cordel y cuerda (L185); el paso descarta una cinta que el libro admite. No hay pasaje que apoye descartar la cinta engomada.
FX1-015	ANADIDO	L499-L501	Prepare a sample test package including all the packaging components and contents in the exact configuration you intend to send to your customer.	Repetir la prueba al cambiar de proveedor de cajas o de material de relleno	Prueba una muestra con todos los componentes de empaque y el contenido en la configuracion exacta que vas a enviar a tu cliente.	El libro no menciona repetir la prueba ni cambios de proveedor o de relleno (busque retest, again, change, supplier sin resultado pertinente); el disparador de repeticion es un dato nuevo.
FX1-017	CONTRARIO	L991-L991	We recommend the FedEx Clinical Pak for use when the sturdy outer packaging of your properly packaged shipment is smaller than 7" x 4" x 2" (minimum acceptable package size).	Umbral de tamano minimo definido por el propio vendedor	Mide el paquete ya armado: si mide menos de 7 x 4 x 2 pulgadas (tamano minimo aceptable del courier), usa un empaque del courier (sobre o pak) o colocalo dentro de una caja exterior mas grande.	El libro fija el umbral en 7 x 4 x 2 pulgadas como tamano minimo aceptable del courier (L991, L1139, L99); el paso deja ese umbral a definicion propia, lo que cambia el umbral del libro. Ningun pasaje apoya que el umbral lo defina el vendedor.
FX1-018	CONTRARIO	L363-L367	Close the liner bag (if used) but do not completely seal it, as the carbon dioxide gas created by the dry ice must be allowed to vent.	Sellar por completo la bolsa interior con hielo seco	Cierra la bolsa interior (si la usas) sin sellarla por completo, para que el gas de dioxido de carbono del hielo seco pueda salir; luego pon la tapa a la hielera.	El libro manda no sellar por completo la bolsa interior y prohibe poner hielo seco en recipiente hermetico (L367); el paso aconseja lo contrario. El sellado de bolsas del libro (L401) es de las bolsas de mariscos, no de la bolsa forro con hielo seco.
