MIS SESENTA CLASES, AUDITOR DE LA VUELTA 196, ESCRITAS ANTES DE ABRIR EL DESTAPE
Y ANTES DE LEER EL CUERPO DE REPORTE.md.
Sujeto: docs/loop/_auditor_v196_ciega_blind.txt, sellado en
docs/loop/SELLO_APERTURA_AUDITOR_V196.json con prohibidos_antes_del_sello = 0.
Vara: docs/BANCO_DE_TEXTOS.md 9.6.1 (LA LINEA O EL PROCEDIMIENTO), con la
advertencia de que es SUELO y no TECHO: primero se pregunta si el par tiene
regla propia de familia.
Leyenda: A REPITE, B DUDOSO, C SANO CON FIGURA, D SANO LIMPIO.

DOS PUESTOS QUEMADOS, Y LOS DECLARO ANTES DE CONTAR NADA: el 654 y el 719.
docs/loop/PROMPT_SIGUIENTE.md, que es el encargo y hay que leerlo para saber que
se audita, PUBLICA SU CLASE DE ARCHIVO: del 654 dice "dos listas del mismo paso
del embudo, cruzadas en el medio" al explicar la B que faltaba, y del 719 dice
"yo llame A a lo que es D". Los leo igual y los clasifico igual, pero SALEN DEL
COTEJO DE CREDITO: un puesto cuya clase ya me dijeron no prueba que yo lea bien.

puesto | clase | discutible | por que, en una linea
--------------------------------------------------------------------------------
10   | D |   | criterios propios de compra contra inteligencia de mercado: dos procedimientos distintos de la misma fase
11   | D |   | tacticas de presion contra protocolo de la visita: B trae procedimiento propio (avisar al acompanante, salir sin firmar, responder dias despues)
24   | D |   | invitar el no contra el silencio: dos tacticas de negociacion sin solape de pasos
25   | D | X | comparten el calculo del porcentaje de costo de mantener, pero A termina en cantidad de pedido y B en fecha de liquidacion: dude entre D y B
71   | D |   | preparacion y agenda contra la tactica del no: sin solape
72   | D |   | intereses contra posiciones frente al silencio: dos tacticas distintas
133  | D |   | exclusiones y control de cambios contra bitacora de lecciones: distintos momentos y distinto producto
134  | D |   | rapport contra punto de retirada: dos preparativos distintos
159  | D |   | B enumera los requisitos de la ley y A desarrolla el de titulacion con procedimiento propio (cinco condiciones, garantias combinadas)
160  | A |   | mismos cuatro pasos reordenados y con el nombre traducido: sindicato/syndicate, lider que negocia, comunicacion con cada uno, no renegociar por separado
204  | D |   | B es el hijo con casa propia del warrant: cobertura, OID, plazo y M&A son procedimiento que la madre no tiene
205  | D |   | inside-out contra outside-in: los dos patrones complementarios de innovacion abierta
397  | D |   | capacidades del fundador contra evaluacion de la idea: sujetos distintos
