puesto 956    | ESCRITA        | pivote_o_proceder -> verificar_product_market_fit (resuelto: pivotar_o_proceder -> verificar_product_market_fit)
puesto 1012   | ESCRITA        | estrategia_multicanal_bienvenida -> seis_canales_comunicacion_assess (resuelto: seis_medios_comunicacion_cliente -> seis_canales_comunicacion_assess)
puesto 1013   | ESCRITA        | equipo_multifuncional_real -> equipos_pequenos_vs_grandes (resuelto: diseno_organizacional_equipos_innovacion -> equipos_pequenos_vs_grandes)
puesto 1160   | ESCRITA        | pivote_o_proceder -> realizar_pruebas_pasa_no_pasa (resuelto: pivotar_o_proceder -> realizar_pruebas_pasa_no_pasa)
puesto 1169   | ESCRITA        | encontrar_vc_adecuado -> embudo_secuencial_de_inversores (resuelto: encontrar_vc_adecuado -> seleccion_etapa_fondo_vc)
puesto 1207   | ESCRITA        | search_for_business_model -> romper_vision_en_experimentos (resuelto: customer_development_vs_business_plan -> romper_vision_en_experimentos)
puesto 1270   | ESCRITA        | pensamiento_convergente_divergente -> deadlines_como_herramienta_convergencia (resuelto: generar_multiples_opciones -> deadlines_como_herramienta_convergencia)
puesto 1286   | ESCRITA        | warrant_pricing_venture_debt -> original_issue_discount_oid (resuelto: warrants_deuda_convertible -> original_issue_discount_oid)
puesto 1345   | ESCRITA        | customer_discovery_cuatro_fases -> pivote_o_proceder (resuelto: customer_discovery_cuatro_fases -> pivotar_o_proceder)
puesto 1472   | ESCRITA        | pivote_o_proceder -> pivot_post_ventas (resuelto: pivotar_o_proceder -> pivot_post_ventas)
puesto 1535   | ESCRITA        | enfoque_etapa_investigacion -> preguntas_problema_2 (resuelto: investigacion_como_habilidad_clave -> preguntas_problema_2)
puesto 1545   | ESCRITA        | metricas_de_adquisicion_activacion -> analisis_de_cohortes (resuelto: build_metrics_toolset -> metricas_cohortes)
puesto 1546   | ESCRITA        | pivote_o_proceder -> catalogo_pivotes (resuelto: pivotar_o_proceder -> catalogo_pivotes)
puesto 2015   | ESCRITA        | certificado_de_origen_tratados_libre_comercio -> certificacion_origen_producto (resuelto: nafta_free_trade_agreements -> certificacion_origen_producto)
