id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
FX1-001	FIEL	L1803-L1805	The FedEx Dangerous Goods/Hazardous Materials Hotline is prepared to answer your questions on the proper preparation of dangerous goods for shipment			El libro remite a consultar al courier sobre aceptacion (L1715 confirm commodity acceptability) y preparacion del envio; el paso lo parafrasea.
FX1-002	FIEL	L1287	When preparing irregular-shaped parts for shipment, tape cushioning material securely to help prevent removal during the handling process.			Parafrasis directa.
FX1-003	OPERATIVO	L63-L83	Measure the length, height, and width of the package. / Multiply length by width by height in inches.		Mide el largo, ancho y alto de tu caja en pulgadas.	El libro manda medir las tres dimensiones en pulgadas; "en las unidades que use tu courier" generaliza sin dato nuevo.
FX1-004	FIEL	L83-L85	Multiply length by width by height in inches. - Divide by 139 for U.S., Puerto Rico, and international shipments.			Multiplicar y dividir entre el divisor; el paso remite al divisor del paso anterior.
FX1-005	FIEL	L549-L569	Secure floral arrangements inside a box using cable ties or bands ... we recommend using a corrugated divider that locks the pot inside the box			Bridas, cintas y divisor de carton estan en el libro.
FX1-006	FIEL	L501	Place your completed application, your sample test package labeled "Test This Package," ... in a sturdy outer container marked "Overpacked/Test Pkg. Inside." 5. Send your shipment to the address indicated			Enviar la muestra marcada segun instrucciones del laboratorio.
FX1-007	OPERATIVO	L579	When shipping multiple orchids, secure the pots in the shipping carton with enough space to keep plants separated during shipment. Contact between the plants' blooms and leaves can lead to damage.		Si envias varias orquideas, deja espacio entre las macetas para que hojas y flores no se toquen entre si.	El libro lo dice para varias orquideas; el paso lo extiende a cualquier planta, misma direccion, sin dato nuevo.
FX1-008	OPERATIVO	L949; L1249	Chipboard or paperboard boxes, paper envelopes, and plastic bags are unacceptable outer packaging. / FedEx may reject any parts packaging that does not meet the minimum shipping standards		Confirma en las guias de tu courier que empaques exteriores no acepta antes de despachar.	El libro lista los empaques exteriores inaceptables y advierte que pueden rechazarse; preguntar al courier y "antes de programar la recoleccion" concretan sin dato nuevo.
FX1-009	FIEL	L1087	Use rigid outer packaging constructed of corrugated fiberboard, wood, metal, or plastic			El libro exige empaque exterior rigido ademas de la proteccion interior.
FX1-010	OPERATIVO	L1749; L1317	All require a completed Shipper's Declaration for Dangerous Goods form. / The shipper is responsible for ... completing documentation for dangerous goods		Completa la Declaracion del Expedidor de Mercancias Peligrosas y la documentacion que exige cada envio de este tipo.	El libro exige completar la documentacion; "guardarla junto con cada envio" concreta sin dato nuevo.
FX1-011	FIEL	L195; L113	Remove or cross out any old address labels on the outer box.			Parafrasis directa.
FX1-012	FIEL	L529; L549	To prevent leaks and spills, ship vases or containers without water			Parafrasis directa.
