==============================================================================
LA TABLA DE ALCANZABILIDAD (VARA DE LA CADENA) DEL TRAMO 11, TALLADA. Vuelta 86.
Cada celda sale de SALIDA_V86_TRAMO11_FILTRO_P91_GUARDA_CADENA.txt; ninguna tecleada.
LA COLUMNA CONTESTA UNA SOLA PREGUNTA: si hay o no camino previo, y con cuantos saltos.
Si ese camino es o no LA CADENA PROPIA de la madre es una decision de lectura aparte.
==============================================================================

| # | par (paso) | alcanzable previo (vara de la cadena) |
|---:|---|---|
| 95 | `determinacion_cuota_inicial -> analisis_competencia_franquicias (paso 2)` | SIN CAMINO PREVIO |
| 96 | `key_partners_hypothesis -> actualizar_business_model_canvas_tuneup (paso 5)` | ALCANZABLE (4 saltos) |
| 97 | `clasificacion_benchmarking -> consortium_benchmarking (paso 4)` | SIN CAMINO PREVIO |
| 98 | `remover_barreras_orgullo_trabajo -> eliminar_slogans_y_exhortaciones (paso 6)` | ALCANZABLE (6 saltos) |
| 99 | `sujetos_de_control -> optimizacion_caracteristicas_diseno (paso 3)` | SIN CAMINO PREVIO |
| 100 | `conditions_precedent_financing -> entender_term_sheet (paso 3)` | ALCANZABLE (3 saltos) |
| 101 | `distribucion_poisson -> muestreo_de_aceptacion (paso 4)` | SIN CAMINO PREVIO |
| 102 | `transformacion_calidad_compromiso_alta_direccion_japon -> planificacion_calidad_crosby (paso 5)` | SIN CAMINO PREVIO |
| 103 | `personalizar_interacciones_cliente -> conexion_personal_emocional (paso 1)` | SIN CAMINO PREVIO |
| 104 | `sistema_pull_push -> takt_time (paso 3)` | SIN CAMINO PREVIO |
| 105 | `customer_discovery_phase2_problem_test -> preparar_contacto_clientes (paso 2)` | ALCANZABLE (5 saltos) |
| 106 | `formalizar_un_proceso_ad_hoc -> metricas_calidad (paso 4)` | SIN CAMINO PREVIO |
| 107 | `medir_lo_que_importa_no_solo_lo_facil -> metricas_calidad (paso 1)` | ALCANZABLE (5 saltos) |
| 108 | `plan_mejora_procesos -> metricas_calidad (paso 3)` | ALCANZABLE (5 saltos) |
| 109 | `sujetos_de_control -> establecer_metas_caracteristicas (paso 3)` | SIN CAMINO PREVIO |
| 110 | `escenarios_diseno_modelo_negocio -> escenarios_de_evolucion_de_la_ia (paso 5)` | ALCANZABLE (3 saltos) |
| 111 | `definicion_calidad_fitness_for_purpose -> descubrir_necesidades_del_cliente (paso 2)` | ALCANZABLE (4 saltos) |
| 112 | `inventario_conocimiento_estadistico_personal -> roi_proyectos_calidad (paso 4)` | SIN CAMINO PREVIO |
| 113 | `reconocer_mercancia_peligrosa_disfrazada -> clasificar_tipo_paquete (paso 4)` | SIN CAMINO PREVIO |
| 114 | `identificacion_proveedores_criticos -> validacion_externa_reportes (paso 4)` | SIN CAMINO PREVIO |
| 115 | `tipos_de_riesgo_invencion_vs_mercado -> fundadores_lideran_validacion (paso 4)` | ALCANZABLE (3 saltos) |
| 116 | `definicion_y_concepto_de_aseguramiento_de_calidad -> planificacion_inicial_calidad (paso 1)` | SIN CAMINO PREVIO |
| 117 | `definicion_y_concepto_de_aseguramiento_de_calidad -> trilogia_juran_qa_qc (paso 3)` | SIN CAMINO PREVIO |
| 118 | `planificacion_recoleccion_datos -> analisis_pareto_proyectos_elefante (paso 7)` | SIN CAMINO PREVIO |
| 119 | `rol_director_calidad -> circulos_calidad_qc (paso 4)` | SIN CAMINO PREVIO |
| 120 | `establecer_diseno_final_producto -> establecer_metas_caracteristicas (paso 1)` | SIN CAMINO PREVIO |
| 121 | `desarrollo_value_proposition_usp -> posicionamiento_vs_competidores (paso 1)` | SIN CAMINO PREVIO |
| 122 | `motor_crecimiento_pago -> valor_de_vida_del_cliente (paso 1)` | ALCANZABLE (6 saltos) |
| 123 | `constraint_management -> caso_estudio_benchmarking_terminal (paso 4)` | SIN CAMINO PREVIO |
| 124 | `ingenieria_calidad_proveedores -> desarrollar_estrategias_largo_plazo (paso 4)` | SIN CAMINO PREVIO |

FIN
