MIS CLASES DE LA CIEGA DE LA VUELTA 190, ESCRITAS ANTES DE ABRIR EL DESTAPE.
Sujeto sellado en docs/loop/SELLO_APERTURA_AUDITOR_V190.json (ciega 41948 bytes,
sha256 LF 74ba85fc32cdc82c). 30 puestos, semilla 1902, 411 excluidos.

MIS DUDOSOS, NOMBRADOS DELANTE Y NO DESPUES (8 de 30):
   966, 1216, 1255, 1645, 2257, 2345, 2547, 2967

puesto | mi clase | mi motivo en una linea
   127 | D | confirmar que el si es real contra averiguar quien tiene el veto: dos actos distintos
   136 | D | despues de la firma contra antes de la firma: momentos opuestos del mismo contrato
   174 | A | los tres pasos de A caen dentro de los seis de B: misma cultura de innovacion
   276 | A | los pasos 6 a 9 de A son LITERALMENTE los cuatro de B
   568 | A | los cuatro de B estan en A (codigo unico, cupon por canal, como se entero, revisar y escalar)
   966 | A | mapear quien decide y en que orden se contacta; DUDOSO MIO: A anade saboteadores
  1130 | D | el modelo SPIN entero contra una sola de sus distinciones
  1216 | A | B contiene los cuatro de A (escala, dolor, roles) y anade; DUDOSO MIO por el anadido
  1254 | D | que pasa con la deuda en una venta contra los terminos de la deuda convertible
  1255 | D | el modelo de customer development contra las cuatro fases; DUDOSO MIO, misma familia
  1322 | D | estructurar hipotesis de segmento contra tecnicas de campo para entender al cliente
  1479 | D | preguntas de implicacion contra senales de compra
  1645 | B | los dos arrancan pesando fragilidad y liquido; DUDOSO MIO, cierran en decisiones distintas
  1657 | D | la regla del colchon de cinco centimetros contra elegir sobre o caja
  1799 | D | consolidar cargas contra empaque ecoeficiente
  2235 | A | los tres de B estan en los cuatro de A, y los ids se diferencian en una preposicion
  2257 | D | examinar tu propio analisis contra auditar el lenguaje de la organizacion; DUDOSO MIO
  2292 | A | reconstruir la vista desde dentro, evitar el vocabulario de falla, entrevistar, documentar presion
  2345 | D | el sesgo retrospectivo al juzgar contra buscar los factores del sistema; DUDOSO MIO
  2371 | D | el error como punto de partida contra los principios de gestion con errores y violaciones
  2477 | A | el paso 4 de A es LITERAL el paso 5 de B, y los otros tres calzan uno a uno
  2520 | A | los pasos 8 y 9 de A son LITERALES los pasos 2 y 4 de B, y 4,5,6 son el 3 de B
  2547 | A | los seis de A recorren DMADV; DUDOSO MIO por el sufijo _2 y por la trampa del 2422
  2603 | D | fase Improve contra fase Measure del mismo DMAIC
  2794 | D | redactar y compartir una vision contra desplegar el plan estrategico entero
  2873 | D | dejar de usar el muestreo de aceptacion contra como disenar su plan
  2950 | D | construir un histograma contra el repertorio grafico de resumen de datos
  2967 | B | la carta del proyecto contra lanzar el equipo; DUDOSO MIO, los dos primeros pasos calzan
  3012 | A | usar limites de control en vez del promedio para decidir en quien se interviene
  3115 | D | repartir el defecto entre sistema y persona contra quitar las barreras del orgullo

RECUENTO DE MIS CLASES: A 11 | B 2 | C 0 | D 17
