id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
O56-001	FIEL	L459-L487	Collect, organize, and review information with workers to determine what types of hazards may be present			Manuales, SDS, registros de lesiones, JHA y resultados de monitoreo estan en la lista del libro
O56-002	FIEL	L765-L771	Have workers been appropriately trained so that they understand the controls			Parafrasis de la pregunta de verificacion del libro
O56-003	OPERATIVO	L1013-L1031	The general contractor gives contractors, subcontractors, and staffing agencies the right to conduct site visits and inspections and to access injury and illness records		Informa a contratistas y agencias como contactarte para reportar incidentes y dales derecho a hacer visitas e inspecciones y a acceder a los registros de lesiones	El libro da a contratistas el derecho a inspeccionar y a acceder a registros y a saber a quien reportar; el paso lo concreta como canal y acceso entre las partes, misma direccion
O56-004	FIEL	L543-L557	Review medical records to identify cases of musculoskeletal injuries, skin irritation or dermatitis, hearing loss, or lung disease that may be related to workplace exposures			El libro pide revisar registros medicos debidamente anonimizados (redacted) para detectar casos ligados al trabajo
O56-005	FIEL	L507	Be sure to document inspections so you can later verify that hazardous conditions are corrected. Take photos or video of problem areas			Literal
O56-006	FIEL	L941-L959	Verify that the following key processes are in place and operating as intended			Literal
O56-007	FIEL	L669	Eliminate or control all serious hazards (hazards that are causing or are likely to cause death or serious physical harm) immediately.			Literal
O56-008	FIEL	L553	Identify ergonomic risk factors--examine work activities that require heavy lifting, work above shoulder height, repetitive motions, or tasks with significant vibration.			Literal
O56-009	FIEL	L633	Prioritize the hazards so that those presenting the greatest risk are addressed first.			Literal
O56-010	FIEL	L189; L683-L727	A plan is developed to ensure that controls are implemented, interim protection is provided, progress is tracked			Plan con fecha objetivo y proteccion provisional, como dice el libro
O56-011	FIEL	L589	Effective incident investigations do not stop at identifying a single factor that triggered an incident. They ask the questions "Why?"			Literal
O56-012	FIEL	L563-L581	Investigate close calls/near misses.			El libro incluye casi accidentes y reportes de otras preocupaciones
O56-013	FIEL	L805-L825; L197	Provide training to all managers; supervisors; workers; and contractor, subcontractor, and temporary agency workers on: Safety and health policies, goals, and procedures			Politicas, metas, procedimientos y funciones del programa
O56-014	FIEL	L681	select equipment, machinery, and materials that are inherently safer based on the application of "Prevention through Design" (PtD) principles			Literal
O56-015	FIEL	L549	identify any exposures to excessive noise (areas where you must raise your voice to be heard by others), elevated heat (indoor and outdoor), or sources of radiation			Literal
O56-016	FIEL	L221	General contractors, contractors, and staffing agencies commit to providing the same level of safety and health protection to all employees.			Literal
O56-017	FIEL	L871	Train workers so they understand and can recognize the hazards they may encounter in their own jobs, as well as more general work- hazards.			Literal
O56-018	FIEL	L755	When resources are limited, implement measures on a "worst-first" basis			Literal
O56-019	FIEL	L1047; L1055; L995	include procedures ... for resolving any conflicts before work starts			El libro pide resolver conflictos antes de empezar y cita la incoherencia sobre EPP
O56-020	FIEL	L547	Identify chemical hazards--review SDSs and product labels to identify chemicals in your workplace that have low exposure limits			Literal
O56-021	FIEL	L433-L437	Post the 11(c) fact sheet ... Incentive programs ... should be designed in a manner that does not discourage injury and illness reporting			Proteccion contra represalias y revision de incentivos, adaptado al pais del lector
O56-022	FIEL	L485; L505	Input from workers, including surveys or minutes from safety and health committee meetings.			Encuestas en L485 y hablar con los trabajadores en L505
O56-023	FIEL	L121-L125; L881	Train workers on how to identify and control hazards using, for example, OSHA's Hazard Identification Training Tool.			Herramienta de identificacion de peligros y jerarquia de controles, adaptado al pais
O56-024	FIEL	L451	Group similar incidents and identify trends in injuries, illnesses, and hazards reported.			Literal
O56-025	OPERATIVO	L597	Identify foreseeable emergency scenarios and nonroutine tasks, taking into account the types of material and equipment in use and the location within the facility.		Identificar escenarios de emergencia previsibles según los materiales y equipos en uso y la ubicación dentro de la instalación	El libro dice materiales y equipos en uso y ubicacion; el paso cambia equipos por tipo de instalacion, misma direccion
O56-026	OPERATIVO	L593; L737	Develop or modify plans to control hazards that may arise in emergency situations.		Desarrollar o modificar los planes para responder a los peligros de emergencias previsibles	El libro pide desarrollar o modificar planes; el paso solo habla de actualizar y con una condicion confusa (cuando no exista uno vigente), misma direccion
O56-027	ANADIDO	L805-L833	Provide training to all managers; supervisors; workers; and contractor, subcontractor, and temporary agency workers on	dentro de sus primeros tres dias en la obra	Impartir la capacitación del programa a todo trabajador, incluido el nuevo o temporal, antes de que empiece a trabajar en la obra	El libro no fija plazo en dias para la capacitacion del programa; buscado day, three, tres, 72, orientation, new hire: solo aparece new hires sin plazo
O56-028	FIEL	L371-L389	Safety Data Sheets (SDSs) ... Injury and illness data ... Workplace inspection reports			Literal
O56-029	OPERATIVO	L507; L753	Be sure to document inspections so you can later verify that hazardous conditions are corrected.		Corregir los peligros encontrados en las inspecciones según las prioridades del plan de control	El libro pide verificar la correccion de lo hallado en inspecciones e implementar controles segun el plan; el paso lo concreta
O56-030	FIEL	L741	Develop procedures to control hazards that may arise during nonroutine tasks			Literal
O56-031	FIEL	L699	Establish a target completion date.			Literal
O56-032	FIEL	L697	Assign responsibility for installing/ implementing the controls to a specific person or persons with the power or ability to implement the controls.			Literal
O56-033	FIEL	L875-L877	Train workers on the proper use of work practice and administrative controls. Train workers on when and how to wear required PPE.			Literal
O56-034	FIEL	L895; L933-L935	establish and follow procedures to collect, analyze, and review performance data ... Share results with workers			Parafrasis
O56-035	FIEL	L631; L677	Use interim controls while you develop and implement longer-term solutions.			Parafrasis
O56-036	FIEL	L455	For each hazard identified, determine the severity and likelihood of incidents that could result, and use this information to prioritize corrective actions.			Literal
O56-037	FIEL	L781	Conduct routine preventive maintenance of equipment, facilities, and controls			Literal
O56-038	FIEL	L467-L487	Equipment and machinery operating manuals. SDSs ... Self-inspection reports ... Records of previous injuries and illnesses ... Results of job hazard analyses			Literal
O56-039	OPERATIVO	L775	Conduct regular inspections (and industrial hygiene monitoring, if indicated) to confirm that engineering controls are operating as designed.		Realizar inspecciones regulares, y monitoreo de higiene industrial cuando haga falta, para confirmar que los controles de ingeniería funcionan como se diseñaron	El paso omite la condicion if indicated del monitoreo y lo vuelve regular sin condicion; misma direccion
O56-040	FIEL	L839	Instruct employers, managers, and supervisors on fundamental concepts and techniques for recognizing hazards and methods of controlling them, including the hierarchy of controls			Literal
O56-041	FIEL	L517; L701	Be sure to document inspections so you can later verify that hazardous conditions have been corrected.			Documentar y verificar la correccion, mas el seguimiento del progreso
O56-042	ANADIDO	L501; L537	Before changing operations, workstations, or workflow; making major organizational changes; or introducing new equipment, materials, or processes, seek the input of workers and evaluate the planned changes	nuevos oficios (llegada de oficios al sitio)	Anticipa revisiones cuando cambien los procesos o puestos, se desgasten equipos o herramientas, o introduzcas equipos, materiales o procesos nuevos	El libro de la fila (industria general) no habla de llegada de oficios; eso es del libro de construccion. Buscado trade, craft en OSHA3885: solo trade associations
