MIS CLASES DE LA CIEGA, VUELTA 219. ESCRITAS ANTES DEL DESTAPE.
sello: docs/loop/SELLO_APERTURA_AUDITOR_V219.json
ciega: docs/loop/_auditor_v219_ciega_blind.txt (105415 bytes, sha256 aa3742003c36486a)
leyenda que uso: A duplicado que pide fusion; B dudoso que va a mesa; C figura o
racimo de tres o mas miembros; D sano (incluye la arista que falta y el par madre
e hijo que continua, banco 9.6, 9.6.1 y 9.6.2).
NO he abierto docs/loop/_auditor_v219_ciega_reveal.txt ni REPORTE.md.

DECLARO ANTES DE CONTAR, Y ES UNA APUESTA RAZONADA Y NO UN DESTAPE: en esta
muestra hay CINCO pares (2572, 2619, 2640, 2888 y 2906) que comparten nodos entre
si. `responsabilidad_gerencial_causas_comunes` sale en el 2619 y en el 2640;
`sistema_responsabilidad_gerencial` sale en el 2619 y en el 2906. Eso hace visible
UNA FIGURA de mas de dos miembros DESDE LA PROPIA CIEGA, sin destapar nada: la
familia Deming de causas comunes contra responsabilidad gerencial. Por eso les
pongo `C` y no `A`, y los marco los cinco como DUDOSOS.

puesto | mi clase | dudoso mio | por que
54   | D |     | dos tacticas distintas de negociacion, procedimiento propio a cada lado
55   | D |     | pedir cotizacion primero contra ofrecer valor no economico: actos distintos
91   | D |     | gestionar el contrato vivo contra registrar lecciones al cerrar
164  | D |     | madre e hijo: el hijo cabe en el paso 2 de la madre y la madre conserva tres pasos propios (decidir, no enganar, abogado)
165  | A | SI  | dos pasos LITERALMENTE identicos y lo que B conserva fuera del solape cabe en una linea (canal fisico)
166  | A |     | nombres gemelos y los cuatro pasos mapean uno a uno
182  | A |     | los cuatro pasos mapean uno a uno: vocero, mensajes antes de escalar, transparencia, reposicionamiento
212  | D | SI  | dos pasos identicos pero el resto es procedimiento a los dos lados (9.6.3: solo se pesa el resto)
232  | D |     | procedimiento propio fuerte en B (earlyvangelists, exclusividades, registro) y en A (canal, entusiasmo, tamano)
294  | D | SI  | tune-up contra pivot-o-proceed: dos momentos distintos del mismo metodo, con procedimiento propio
324  | D |     | garantias implicitas contra disponibilidad previa a la venta: actos distintos
363  | A |     | A queda casi entero dentro de B, con un paso copiado palabra por palabra
410  | A |     | B es subconjunto de A: sus tres pasos estan en A y uno es literal; B no conserva nada propio
427  | D |     | socios contra recursos, y la propia A manda distinguirlos
469  | D | SI  | dos metricas canonicas distintas; el capex de mantenimiento contra el de crecimiento es la tesis de owner earnings
505  | A | SI  | mismo marco de Christensen, nombres casi gemelos y lo que cada lado conserva cabe en una linea
517  | D |     | construir una landing contra elegir el tipo de MVP
547  | A |     | gemelos: escala de conciencia, tipos de cliente, must-have y el paso del mercado multi-lado es literal
558  | A |     | B contiene a A entera, incluido el paso de Whole Foods y Virgin America palabra por palabra
571  | A |     | A contiene a B: dos pasos de B son literales dentro de A y los otros tres mapean
629  | D |     | construir la landing contra decidir que prototipar
685  | D |     | emparejar agile con customer development contra el ciclo espiral: procedimiento a los dos lados
1122 | D | SI  | pricing y TCO y ROI de un lado, cobertura de costos y LTV del otro
1193 | D | SI  | el marco del pool contra la tactica del option budget y la anti-dilucion
1203 | D |     | madre e hijo: Acclimate es una de las ocho fases y la madre conserva materia propia
1300 | D |     | actualizar el modelo contra validar el encaje problema-solucion
