LINEAS DE git log --all: 2224

id_op                fase   estado   commit que la nombra EJECUTADA/CERRADA
----------------------------------------------------------------------------------------------------
OP-C-01              00     LISTA    3d0277d3|2026-09-04|TAREA 5: PARADA. OP-C-01 no se puede ejecutar porq
OP-C-02              00     LISTA    24390add|2026-08-27|VUELTA 101, TAREA 3: la fase 0 contra las TRES sed
OP-C-03              00     LISTA    24390add|2026-08-27|VUELTA 101, TAREA 3: la fase 0 contra las TRES sed
OP-S-06              00     LISTA    24390add|2026-08-27|VUELTA 101, TAREA 3: la fase 0 contra las TRES sed
OP-S-07              00     LISTA    82ee608a|2026-08-14|OP-S-07 EJECUTADA por su letra nueva: 66 enlaces r
OP-C-04              00     LISTA    96c14726|2026-08-14|OP-C-04 EJECUTADA: las dos guardas de Gate 0, cada
OP-F-01              01     LISTA    204be669|2026-08-14|OP-F-01 EJECUTADA: la clase manda, cero pasos alte
OP-F-02              01     LISTA    2d96e3d3|2026-08-14|OP-F-02 EJECUTADA ENTERA: los tres nodo propio de 
OP-F-03              01     LISTA    9d4a8eb1|2026-08-14|OP-F-03 CERRADA: los cinco bloques con destino nod
OP-F-04-COL          01     LISTA    575be1e3|2026-08-15|TAREA 2 de la vuelta 31, OP-F-04-COL SEGUNDO TIEMP
OP-F-04-HOR          01     LISTA    2bd8dd76|2026-08-14|OP-F-04-HOR ejecutada en casi todo: doce nodos en 
OP-F-04-WEI          01     LISTA    (ninguno)
OP-F-04-RAC          01     LISTA    407d4d9f|2026-08-14|OP-F-04-RAC EJECUTADA ENTERA: los cuatro bloques d
OP-D-01              02     LISTA    d9ec5481|2026-08-19|Vuelta 40: MODO DE EJECUCION CONTINUA retomado. OP
OP-D-02              02     LISTA    1736e1d7|2026-08-15|REPORTE de la vuelta 32: el 14vo de Horowitz resue
OP-D-03              02     LISTA    d5058140|2026-08-15|REPORTE de la vuelta 33 y PARADA en OP-D-03. TAREA
OP-D-04              02     LISTA    f070617c|2026-08-19|REPORTE DE LA VUELTA 39: OP-D-04 CERRADA con sus d
OP-D-05              02     LISTA    6a6544e0|2026-08-19|REPORTE DE LA VUELTA 40: la puerta de calibracion 
OP-D-06              02     LISTA    c0041109|2026-08-19|VUELTA 44 CERRADA: EL REPORTE, con OP-D-06 cerrada
OP-D-07              02     LISTA    (ninguno)
OP-D-08              02     LISTA    1f7493d1|2026-08-19|OP-D-08, SEGUNDO COMMIT DE LOS TRES: LA CIRUGIA EJ
OP-D-09              02     LISTA    ef78c8b1|2026-08-19|OP-D-09, SEGUNDO COMMIT DE LOS TRES: LA CIRUGIA EJ
OP-U-01              03     LISTA    2459a726|2026-08-19|VUELTA 48 CERRADA: EL REPORTE, con el tramo 1 de O
OP-M-02-PROG         03     LISTA    0f692945|2026-08-20|VUELTA 63, OP-M-02-PROG EJECUTADA: EL PROGRAMA UNI
OP-M-03-I            03     LISTA    7a160a25|2026-08-20|VUELTA 64, OP-M-03-II EJECUTADA: LA TERCERA FUSION
OP-U-02              03     LISTA    d6341ebe|2026-08-26|TAREA 2 DE LA VUELTA 73 EJECUTADA: EL LOTE I DEL T
OP-M-02-MEDIOS       03     LISTA    (ninguno)
OP-M-03-II           03     LISTA    7a160a25|2026-08-20|VUELTA 64, OP-M-03-II EJECUTADA: LA TERCERA FUSION
OP-M-02-ASSESS       03     LISTA    (ninguno)
OP-M-02-ADMIT        03     LISTA    (ninguno)
OP-M-02-ACTIVATE     03     LISTA    (ninguno)
OP-M-02-ACCOMPLISH   03     LISTA    (ninguno)
OP-E-01              04     LISTA    b554b74b|2026-08-28|VUELTA 118 TAREA 3: registro aditivo del cierre co
OP-E-03              04     LISTA    cc2c0ae3|2026-08-28|VUELTA 117, TAREA 4: registro aditivo en docs/plan
OP-E-06              04     LISTA    cc2c0ae3|2026-08-28|VUELTA 117, TAREA 4: registro aditivo en docs/plan
OP-E-07              04     LISTA    cc2c0ae3|2026-08-28|VUELTA 117, TAREA 4: registro aditivo en docs/plan
OP-A-01              07     LISTA    e1706a7d|2026-09-02|REPORTE DE LA VUELTA 146: LAS CINCO TAREAS ENTERAS
OP-A-02              07     LISTA    aab0039a|2026-09-02|VUELTA 146, TAREA 3: LA FASE 07 SE EJECUTA Y OP-A-
OP-L-01              09     LISTA    (ninguno)
OP-L-02              09     LISTA    (ninguno)
OP-L-03              09     LISTA    (ninguno)
OP-I-01              10     LISTA    (ninguno)

EN LISTA CON COMMIT DE EJECUTADA: 31
EN LISTA SIN COMMIT DE EJECUTADA: 11
