cifra 31 del campo nodos coincide con la nomina medida: 31 == 31 -> True

id de la nomina                                estado     reclama alias (si depre)
comprender_definicion_legal_franquicia         VIVO       -
cumplimiento_ftc_rule_436                      VIVO       -
calculo_roi_franquiciado_2                     VIVO       -
cumplir_leyes_estatales_franquicia             VIVO       -
eleccion_abogado_franquicias                   VIVO       -
registro_estatal_franquicia                    VIVO       -
alternativa_business_opportunity_licensing     VIVO       -
alternativa_trademark_licensing                VIVO       -
calificacion_prospectos_award                  VIVO       -
cinco_categorias_costos_franquicia             DEPRECADO  estimacion_inversion_inicial_franquiciador
concepto_de_advances                           VIVO       -
decision_fpr                                   VIVO       -
decision_marca_comun_branding                  VIVO       -
desarrollar_manual_operaciones                 VIVO       -
diseno_programa_capacitacion_franquicia        VIVO       -
elaboracion_fdd                                DEPRECADO  preparar_fdd
estimacion_inversion_inicial_franquiciador     VIVO       -
estructura_proveedores_aprobados_designados    VIVO       -
estructuras_combinadas_franquicia              DEPRECADO  prevenir_franquicias_inadvertidas
exenciones_legales_franquicia                  VIVO       -
financial_performance_representations          VIVO       -
ingresos_por_rebates                           VIVO       -
los_tres_grandes_criterios                     VIVO       -
multiples_compradores_influyentes              VIVO       -
obtencion_marca_registrada                     VIVO       -
preparar_fdd                                   VIVO       -
proceso_venta_franquicias                      VIVO       -
programas_compra_franquicia                    VIVO       -
propuesta_valor_franquicia                     VIVO       -
proteccion_propiedad_intelectual_franq         VIVO       -
revision_legal_marketing                       VIVO       -

TOTALES: nomina 31, vivos 28, deprecados 3, ausentes 0
