==============================================================================
EL MARCADOR DE CADA ESTADO, LEIDO DE GIT (corte 3388)
fichero: docs/INTRA_DOMINIO_VEREDICTOS.jsonl
==============================================================================

commit       asunto                                              n      A     B     C      D
26c15781     Vuelta 19 instrumentos de solo lectura: vuelta   3388    583    89     7   2709
945a6a16     Vuelta 19 TAREA 1: los cinco registros, y la n   3388    583    89     7   2709
7b21a8d0     Vuelta 19 TAREA 2.B: las tres figuras que falt   3388    583    89     7   2709
df34e625     REPORTE de la vuelta 19: los cinco registros,    3388    583    89     7   2709
33d37f3c     ACTA vuelta 19: la tanda sale limpia, la noven   3388    583    89     7   2709
268d6225     Vuelta 20 instrumentos de solo lectura: vuelta   3388    583    89     7   2709
0342e6d5     Vuelta 20 TAREA 1: los cinco registros, y Horo   3388    583    89     7   2709
1bfab1c4     Vuelta 20 TAREA 2: la FASE II medida al cierre   3388    583    89     7   2709
665dcf2b     REPORTE de la vuelta 20: los cinco registros,    3388    583    89     7   2709
cbc6ce51     ACTA vuelta 20: la tanda verifica con una caid   3388    583    89     7   2709
8fe604ef     Vuelta 21 TAREA 1: los cinco registros del act   3388    583    89     7   2709

FIN
