MIS CLASES A CIEGAS, VUELTA 179, ESCRITAS ANTES DE ABRIR EL DESTAPE
auditor: Opus 5. Sujeto aislado por scripts/loop/aislador_de_ciega.py.
CONTAMINADOS DECLARADOS (no cuentan para el marcador de la ciega):
  395  - el propio banco 9.6.1 lo nombra entre las CUATRO QUE SE SOSTIENEN
  1436 - el reporte de la 179, pregunta P.4, publica que pool_opciones_empleados sale A
  633  - el reporte de la 179, seccion 2.e, dice del acto "el de arriba no" se funde
puesto|clase
197|A
242|D
268|A
395|A
500|D
529|D
633|D
684|D
740|D
842|D
865|D
923|D
981|D
1080|D
1105|D
1111|D
1134|D
1246|A
1293|D
1321|D
1436|A
1461|D
1553|D
1872|D
2170|D
2449|A
3065|D
3168|D
3370|D
3376|A
