### TALLER grupos_pasos
| paso del resultado | de que origenes sale | el motivo de perdida de linea que lo modifica |
|---:|---|---|
| **1** | D1, E3 | LAS DOS PIEZAS SON DEL MISMO OBJETO, quien esta en la sala y donde. El superviviente no dice ni una cosa ni la otra en ninguno de sus cinco pasos, asi que las dos VIAJAN. Va primero porque en los dos donantes precede a todo y porque colocarla a la cabeza no mueve ninguno de los cinco pasos del superviviente entre si. |
| **2** | R1 | VERBATIM del superviviente. |
| **3** | R2, D2, E1, E2 | EL BLOQUE DE REGLAS DE LOS TRES EN UNO. El superviviente ya traia diferir el juicio, una conversacion a la vez, ir por cantidad, ser visual y las ideas locas. VIAJAN tres piezas que no tenia: hacerlas VISIBLES, mantenerse enfocado en el tema, y la regla de construir sobre las ideas de otros, que es la unica regla del acto que el superviviente no dice en ninguna parte. El procedimiento de esa ultima no se injerta porque vive en construir_sobre_ideas_ajenas, que queda VIVO y enlazado por P.10. |
| **4** | R3 | VERBATIM del superviviente. Es la pieza que ningun otro miembro del acto tiene, y la razon del puesto 834 ya la llamo lo mas caro de perder. |
| **5** | R4, D4 | MISMO GESTO EN LOS DOS. El superviviente ya capturaba y movia en post-its; del donante VIAJA solo el otro soporte nombrado, la pizarra. |
| **6** | R5 | VERBATIM del superviviente. |
| **7** | D3, E4 | EL ACTO DE GENERAR Y SU ENCUADRE. El superviviente manda ir por cantidad dentro de sus reglas pero no tiene paso de generacion, y no dice en ninguna parte que la sesion de generar vaya separada de la de elegir. Las dos VIAJAN y van al final porque son lo que se hace despues del calentamiento. |

### TALLER grupos_condiciones
| condicion del resultado | de que origenes sale | el motivo que la modifica |
|---:|---|---|
| **1** | RC1, EC1 | LA MISMA CONDICION DICHA DOS VECES. Del donante VIAJA el para que, antes de tomar decisiones. |
| **2** | RC2 | VERBATIM del superviviente. |
| **3** | DC1, DC2 | LAS DOS DEL DONANTE, que dicen el mismo momento del proyecto y ninguna de las dos esta en el superviviente. VIAJAN juntas. |
| **4** | EC2 | VIAJA entera: es la condicion que hace falta para el primer paso del resultado, y el superviviente no la tenia. |

### ALTERNANCIA grupos_pasos
| paso del resultado | de que origenes sale | el motivo de perdida de linea que lo modifica |
|---:|---|---|
| **1** | P1, G1, T2 | LOS TRES DICEN LA MISMA ORDEN y el superviviente la dice entera. De los donantes VIAJA solo el matiz: deliberadamente, y la energia ademas del tiempo. |
| **2** | G2 | VIAJA ENTERO. El superviviente no pone limite a la divergencia en ninguno de sus cuatro pasos, y sin limite la orden de divergir no tiene freno escrito. |
| **3** | P2 | VERBATIM del superviviente. |
| **4** | G3 | VIAJA ENTERO. Es lo unico del donante que no es la orden de divergir, y el superviviente no lo dice. |
| **5** | P3, T3 | LA ALTERNANCIA ES DEL SUPERVIVIENTE y viaja el matiz del donante, que nombra las TRES actividades entre las que se alterna. Ninguna de las tres esta nombrada en el superviviente. |
| **6** | P4, T4 | LAS DOS CARAS DE LA MISMA DISCIPLINA, soltar lo bueno y no agarrar lo primero. La segunda VIAJA del donante. |
| **7** | T1 | VIAJA ENTERO y va al final porque es la actitud que sostiene a los seis anteriores, no un paso que se ejecute antes que ellos. El superviviente no la nombra. |

### ALTERNANCIA grupos_condiciones
| condicion del resultado | de que origenes sale | el motivo que la modifica |
|---:|---|---|
| **1** | PC1, GC1, TC1 | LA MISMA CONDICION EN LOS TRES NODOS, escrita tres veces. |
| **2** | PC2 | VERBATIM del superviviente. |
| **3** | GC2 | VIAJA entera: es la unica que situa el momento y el superviviente no lo situa. |

