MIS CLASES DE LA CIEGA DEL ACTA 187, ESCRITAS ANTES DE ABRIR EL DESTAPE
sello: docs/loop/SELLO_APERTURA_AUDITOR_V188.json
ciega: docs/loop/_auditor_v188_ciega_blind.txt (42599 bytes, sha256 ea6d846cb7e0c73e)
criterio: muestra fresca de 30, semilla 1872, solape 0 contra 293 puestos

LA VARA QUE ME APLICO A MI MISMO, ESCRITA ANTES DE LEER: la averia que el acta
186 me midio es EL NOMBRE DECIDIENDO POR MI. Asi que en cada par miro PRIMERO lo
que queda FUERA del solape de los pasos, y solo despues miro los dos nombres.
Donde los nombres sean casi sinonimos, lo digo y lo marco dudoso.

puesto | mi clase | dudoso | mi razon en una linea
------------------------------------------------------------------------------
226  | D | DUDOSO | nombres casi sinonimos (los dos son antidilucion); fuera del solape queda mucho por los dos lados: A trae carve-outs, clausula de waiver y splits o dividendos; B trae la definicion de CSO y el calculo del impacto antes de firmar. El solape es solo negociar broad-based.
252  | A |        | correspondencia uno a uno de los cuatro: cuadrante, oferta y demanda, capacidades y ajuste de estrategia, y revision periodica por si cambia de cuadrante. Mismo modelo y mismos actos.
255  | A | DUDOSO | B es A recortado: roles, orden de contacto y proceso repetible estan los tres en A (pasos 2, 3 y 5). Lo que A tiene de mas (mapa de acceso, plan hasta el cobro) es MAS DETALLE DEL MISMO ACTO, no otro acto. Dudoso porque decido por contencion y no por igualdad.
293  | A |        | los cuatro se corresponden: revision humana obligatoria, cuestionar la salida, medir o probar que el equipo detecta el fallo, y rotar para no perder criterio. Solo cambia el orden.
426  | A |        | el mas claro de la tanda: A LLEVA DENTRO EL TEXTO DE B, literal (los que mas o menos usan el producto, y las entrevistas o inmersiones etnograficas) y el paso 5 de A es el paso 4 de B palabra por palabra.
603  | D |        | solo se tocan en cuanto control cedes. A es runway y bootstrap contra inversion; B es que haces tu y que encargas, con las franquicias como via de expansion. Fuera del solape queda casi todo.
954  | D |        | dos hitos vecinos y distintos: B es la sintesis de hipotesis contra la pared, buscando CONTRADICCIONES y revisando costos; A es la decision de pivotar o seguir, con el plan de entrega a 18 meses. El lienzo aparece en los dos pero no es el acto.
1222 | D |        | A es el gesto de sorpresa de bajo costo y alto impacto emocional; B es el sistema de categorias, fechas de actualizacion y razon declarada contra razon real. Fuera del solape hay acto propio por los dos lados.
1286 | D |        | A es el tratamiento fiscal del OID y la regla de no aceptar descuento y warrants a la vez; B es la negociacion entera del warrant (porcentaje, precio de ejercicio, plazo, fusion). Se tocan en un solo paso.
1332 | A |        | B es A sin la regla de decision ni el analisis de sensibilidad: proyectar, tasa, descontar, comparar. Los cuatro de B son los cuatro primeros de A.
1341 | D | DUDOSO | A es un nodo grande que YA absorbio lenguaje de criterios (sus pasos 15 y 16), y eso invita a leer A. Pero B tiene fuera del solape dos actos propios: mantener los MISMOS factores del scorecard entre gates, y adaptar los criterios al TIPO de proyecto.
1367 | D |        | no comparten ni el instrumento: A son las 6 preguntas de Chopra y Meindl y los 5 drivers; B son cuadrantes, benchmarking en cuatro areas y ratios (rotacion, ROS, cash-to-cash). El nombre comun es cadena de suministro y nada mas.
1509 | D |        | A es el mercado multilateral general (quien usa, decide, compra, prescribe y paga, y validar canal por lado); B es el caso concreto del canal publicitario, con umbral de millones de visitas. Se tocan en cuanto pagaria el lado que paga.
1540 | D |        | A es CUANTOS cofundadores y con que solape de rol; B es PROBAR a la persona antes de comprometerse, con proyecto pequeno y conversacion de expectativas. Solo roza en la diversidad de skills.
1612 | A |        | los cinco se corresponden: no reutilizar la caja vencida, pared doble por peso, preguntar el limite al proveedor o al courier, y leer el limite impreso o el sello del fabricante. Mismo acto, dos redacciones.
1676 | D |        | A es que hacer CON la devolucion ya recibida (destino en 48 horas, separacion fisica); B es EVITAR la devolucion arreglando la ficha antes de la compra. Solo comparten mirar el motivo repetido.
1703 | D |        | el mas claro del otro lado: A son las etiquetas de manejo y B es elegir la caja. Nodos distintos y ni un paso en comun.
1910 | D |        | A es la cultura interna de las tres erres en la oficina; B es la compra verde (proveedores, empaque, equipos eficientes, servicios de renta). Fuera del solape queda todo.
1912 | D |        | A motiva (ejemplo, incentivos, competencias, senaletica); B mide (medicion en tiempo real, paneles, capitanes de energia, reuniones de desempeno). Se tocan en hacerlo visible.
1953 | D | DUDOSO | nombres casi sinonimos y es la trampa que me tumbo en el 491. Pero el reparto es real: A es COMO SE LLENA el certificado (datos, HS a 6 digitos, criterio de preferencia, firma, 5 anos de guarda); B es SI HACE FALTA Y DE DONDE SE SACA (guia del pais, si aplica el tratado, formulario correcto, copias e idioma para textiles).
2124 | D | DUDOSO | B parece subconjunto de A en sus dos primeros pasos, y por eso lo marco. Pero B trae el cumplimiento regulatorio de los estados con registro de franquicias, que A no tiene, y A trae el copy, la revision de fotos desde la mirada del franquiciado y la inversion en materiales.
2177 | D |        | A es la estructura de proveedores aprobados contra designados y el riesgo de tying; B es el ingreso por rebates y su reparto. Solo comparten que los dos se divulgan en el FDD.
2382 | D | DUDOSO | los dos son de la misma doctrina (Dekker) y los dos pelean contra la mirada retrospectiva, por eso lo marco. Pero son dos conceptos distintos con dos metodos distintos: A es el error como CONSECUENCIA y el sesgo de atribucion; B es reconstruir la senal DISPONIBLE en el momento y el lenguaje del reporte.
2448 | A |        | los cuatro se corresponden: carta de control para ver si el trabajador llego a control estadistico, si no llego reforzar, si llego y no rinde reasignar, y no gastar en reentrenar al que ya esta en control. Es la misma doctrina paso por paso.
2834 | D |        | y lo dice el propio nodo B en su ultimo paso: incluir impacto en INGRESOS y no solo en costos. A es el costo de la calidad y su tendencia; B es la percepcion, la recompra y el precio premium.
2953 | D |        | dos momentos del mismo programa: B PLANIFICA el Dia ZD (materiales, lanzamiento, sindicato, ECR); A fija las metas UNA SEMANA DESPUES del Dia ZD, a 30, 60 y 90 dias. La secuencia esta escrita en el propio paso 1 de A.
3030 | D | DUDOSO | nombres casi sinonimos otra vez. Pero A es la SEPARACION de la ingenieria de calidad y la gestion estrategica, o sea quien piensa que; y B es MAPEAR el sistema, ver quien controla cada parte y documentarlo contra la norma.
3158 | D |        | A es fijar metas (cuantificables, con benchmark, con equidad entre roles); B es montar la medicion (metricas por area, linea base, graficos visibles, revision diaria del ingeniero). El paso 7 de B roza a A pero es una linea de ocho.
3314 | D | DUDOSO | los dos son identificacion de riesgos y comparten la frase de causa y efecto, por eso lo marco. Pero A tiene el triaje propio (activo contra observado) y B tiene las TECNICAS que A no nombra: lista de chequeo y estudiar dos o tres proyectos que fracasaron.
3340 | D | DUDOSO | los dos cierran el mundo del riesgo y comparten la repeticion. Pero A es CUANDO buscar (al inicio, en cada etapa, temprano y barato) y B es la actitud de que nunca se acaba, con la celebracion y el seguir arriesgando.

RESUMEN DE MIS CLASES: A 7 (252, 255, 293, 426, 1332, 1612, 2448), D 23.
MIS DUDOSOS, MARCADOS DE ANTEMANO: 226, 255, 1341, 1953, 2124, 2382, 3030, 3314, 3340 (nueve).
