### PERDIDAS TALLER
| pieza | de que nodo | clase P.13 | a donde va | por que |
|---|---|:---:|---|---|
| el espacio dedicado sin distracciones | `brainstorming_divergente` | **VIAJA** | paso 1 del resultado | el superviviente no nombra el espacio en ninguno de sus cinco pasos |
| generar el mayor numero de ideas sin filtrar prematuramente | `brainstorming_divergente` | **VIAJA** | paso 7 del resultado | el superviviente lo tiene como REGLA y no como PASO: no hay en el ningun momento en que efectivamente se genere |
| que la cosecha se filtra despues, en la fase de convergencia | `brainstorming_divergente` | **VIAJA** | entregable y resumen del resultado | el entregable del superviviente se queda en las ideas agrupadas y no dice a donde van |
| la regla de construir sobre las ideas de otros, y su prioridad sobre generar ideas propias aisladas | `brainstorming_divergente y brainstorming_efectivo` | **VIAJA** | paso 3 del resultado | ES LA UNICA REGLA DEL TRIANGULO QUE EL SUPERVIVIENTE NO DICE, medido sobre sus cinco pasos. Viaja LA LINEA. El PROCEDIMIENTO de esa linea NO se injerta porque vive en construir_sobre_ideas_ajenas, que queda VIVO fuera de la fusion y enlazado por P.10: injertarlo seria fabricar la repeticion nueva contra la que P.13 avisa |
| hacer las reglas VISIBLES | `brainstorming_efectivo` | **VIAJA** | paso 3 del resultado | el superviviente manda establecerlas y hacerlas cumplir, no visibilizarlas |
| mantenerse enfocado en el tema | `brainstorming_efectivo` | **VIAJA** | paso 3 del resultado | el superviviente centra el ENUNCIADO al principio pero no manda sostener el foco durante la sesion |
| formar grupos donde los participantes se conozcan y tengan confianza mutua | `brainstorming_efectivo` | **VIAJA** | paso 1 y condicion 4 del resultado | ningun otro miembro del triangulo habla de quien compone el grupo |
| separar las sesiones de generar de las de seleccionar | `brainstorming_efectivo` | **VIAJA** | paso 7 del resultado | el superviviente no menciona la convergencia en ninguna parte |
| que sin reglas la sesion degenera en reunion ordenada o en caos improductivo | `brainstorming_efectivo` | **VIAJA** | resumen del resultado | es el por que de las reglas, y el superviviente solo las enumera |
| ir por cantidad | `brainstorming_divergente` | **VIVE DENTRO** | paso 3 del resultado, ya estaba | el superviviente ya manda ir por cantidad; viaja solo el matiz sobre calidad |
| el registro visual y la pizarra como soporte | `brainstorming_divergente` | **VIVE DENTRO** | paso 5 del resultado, ya estaba | el superviviente ya captura y mueve en Post-its; viaja solo el soporte alterno |
| diferir el juicio | `brainstorming_divergente y brainstorming_efectivo` | **VIVE DENTRO** | paso 3 del resultado, ya estaba | es la primera regla del paso 2 del superviviente |
| las ideas descabelladas | `brainstorming_efectivo` | **VIVE DENTRO** | paso 3 del resultado, ya estaba | el superviviente ya manda fomentar ideas locas |
| que el brainstorming no es la unica tecnica de ideacion | `brainstorming_divergente` | **YA NO APLICA** | se retira | es un encuadre del libro sobre el lugar de la tecnica, no material del procedimiento, y no hay linea del superviviente donde colgarlo sin inventarsela |

**14 piezas: 9 `VIAJA`, 4 `VIVE DENTRO`, 1 `YA NO APLICA`.**

### PERDIDAS ALTERNANCIA
| pieza | de que nodo | clase P.13 | a donde va | por que |
|---|---|:---:|---|---|
| alternar entre investigacion de mercado, prototipado y generacion de forma no lineal | `design_attitude_vs_decision_attitude` | **VIAJA** | paso 5 del resultado | el superviviente alterna entre GENERAR y SELECCIONAR y no nombra ninguna de esas tres actividades |
| evitar adoptar la primera solucion razonable | `design_attitude_vs_decision_attitude` | **VIAJA** | paso 6 del resultado | el superviviente lo dice en su resumen, que la cultura occidental favorece la convergencia rapida, y no lo tiene como paso |
| aceptar la ambiguedad y la incertidumbre como parte del proceso | `design_attitude_vs_decision_attitude` | **VIAJA** | paso 7 del resultado | no esta en el superviviente |
| el contraste ACTITUD DE DISENO contra ACTITUD DE DECISION de Collopy y Boland, con el Design Squiggle de Damien Newman | `design_attitude_vs_decision_attitude` | **VIAJA** | resumen del resultado | ES LA PIEZA MAS CARA DE ESTA FUSION: un concepto con autores nombrados y con su figura. Perderla seria borrar material atribuido |
| el deadline claro para la fase de divergencia, y la paralisis por analisis | `generar_multiples_opciones` | **VIAJA** | paso 2 del resultado | el superviviente manda divergir y no le pone freno en ninguno de sus pasos |
| la polinizacion cruzada entre ideas distintas | `generar_multiples_opciones` | **VIAJA** | paso 4 del resultado | no esta ni en el superviviente ni en el otro donante |
| el set documentado de al menos 3 a 5 alternativas evaluadas | `generar_multiples_opciones` | **VIAJA** | entregable del resultado | el entregable del superviviente cuenta ciclos y no cuenta alternativas |
| que los plazos ponen un limite productivo a la exploracion, y que no conformarse con la primera buena idea separa lo incremental de lo verdaderamente creativo | `generar_multiples_opciones` | **VIAJA** | resumen del resultado | es el por que del paso 2 que viaja; sin el, la orden del deadline queda sin motivo escrito |
| dedicar tiempo Y ENERGIA a explorar antes de converger | `design_attitude_vs_decision_attitude` | **VIVE DENTRO** | paso 1 del resultado, ya estaba | el superviviente ya manda dedicar tiempo explicito; viaja la energia |
| generar deliberadamente multiples alternativas antes de elegir una | `generar_multiples_opciones` | **VIVE DENTRO** | paso 1 del resultado, ya estaba | es el paso 1 del superviviente dicho con otras palabras; viaja el adverbio |
| mentalidad y proceso de trabajo del equipo, como ENTREGABLE | `design_attitude_vs_decision_attitude` | **YA NO APLICA** | se retira del entregable; su contenido vive en el resumen | una mentalidad no es un documento y el superviviente entrega uno. Retirarla del entregable no pierde material: viaja entero al resumen |

**11 piezas: 8 `VIAJA`, 2 `VIVE DENTRO`, 1 `YA NO APLICA`.**

