id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
O56-001	FIEL	L459-L487	Collect, organize, and review information with workers to determine what types of hazards may be present			El action item 1 de OSHA3885 enumera manuales de operacion, SDS, registros de lesiones, resultados de monitoreo de exposicion y resultados de JHA: el paso los recoge tal cual.
O56-003	OPERATIVO	L1007-L1031	The general contractor gives contractors, subcontractors, and staffing agencies the right to conduct site visits and inspections and to access injury and illness records and other safety and health information.		Asegura que contratistas, subcontratistas y agencias sepan como contactar al contratista general para reportar una lesion, enfermedad o incidente, y dales el derecho a hacer visitas e inspecciones del sitio y a acceder a los registros de lesiones y enfermedades y a otra informacion de seguridad y salud.	El libro dice como contactar al contratista general para reportar y el derecho a inspeccionar y acceder a registros de lesiones; el paso lo concreta como canal y acceso mutuo a registros de inspecciones, misma direccion sin dato nuevo.
O56-008	FIEL	L553	Identify ergonomic risk factors--examine work activities that require heavy lifting, work above shoulder height, repetitive motions, or tasks with significant vibration.			Parafrasis directa del examen de factores de riesgo ergonomico.
O56-014	FIEL	L681	Whenever possible, select equipment, machinery, and materials that are inherently safer based on the application of "Prevention through Design" (PtD) principles.			El libro recomienda aplicar PtD al seleccionar equipos, maquinaria y materiales.
O56-020	FIEL	L547	Identify chemical hazards--review SDSs and product labels to identify chemicals in your workplace			Literal: revisar SDS y etiquetas para identificar quimicos de riesgo.
O56-025	OPERATIVO	L591-L597	Identify foreseeable emergency scenarios and nonroutine tasks, taking into account the types of material and equipment in use and the location within the facility.		Identificar escenarios de emergencia previsibles y tareas no rutinarias teniendo en cuenta los tipos de material y equipo en uso y la ubicacion dentro de la instalacion.	El libro pide considerar material y equipo en uso y la ubicacion; el paso cambia equipo en uso por tipo de instalacion, misma direccion sin dato nuevo concreto.
O56-026	ANADIDO	L737	Develop or modify plans to control hazards that may arise in emergency situations.	condicion: actualizar el plan cuando no exista uno vigente (el libro no pone condicion y distingue desarrollar un plan nuevo o modificar el existente)	Desarrollar o modificar planes para controlar los peligros que puedan surgir en situaciones de emergencia.	El libro dice desarrollar o modificar planes sin condicion; el paso anade una condicion que no aparece (y que no encaja: no se actualiza lo que no existe). Grep de 'existing plan' y variantes sin resultado.
O56-027	CONTRARIO	L805-L833; L1053	Ensure that joint-employed workers are adequately trained and equipped before arriving on the worksite.	plazo: dentro de sus primeros tres dias en la obra (para temporales el libro fija antes de llegar a la obra; para nuevos no fija plazo)	Impartir la capacitacion sobre el programa a todos los gerentes, supervisores, trabajadores y personal de contratistas, subcontratistas y agencias temporales, asegurando que los trabajadores temporales esten adecuadamente capacitados y equipados antes de llegar a la obra.	El libro da otro valor para el mismo plazo: los temporales deben llegar ya capacitados, no capacitarse en sus tres primeros dias. Grep de three, 3 days y day sin ningun plazo de tres dias.
O56-029	OPERATIVO	L505-L507; L753	Be sure to document inspections so you can later verify that hazardous conditions are corrected.		Implementar las medidas de control segun las prioridades del plan de control de peligros y verificar despues, con la documentacion de las inspecciones, que las condiciones peligrosas se corrigieron.	El libro pide implementar segun el plan y verificar que se corrijan las condiciones halladas en inspecciones; el paso lo concreta como ejecutar las correcciones, misma direccion.
O56-030	FIEL	L741	Develop procedures to control hazards that may arise during nonroutine tasks			Literal.
O56-036	FIEL	L455; L625	For each hazard identified, determine the severity and likelihood of incidents that could result, and use this information to prioritize corrective actions.			Parafrasis fiel de gravedad y probabilidad para priorizar.
O56-039	OPERATIVO	L775	Conduct regular inspections (and industrial hygiene monitoring, if indicated) to confirm that engineering controls are operating as designed.		Realizar inspecciones regulares (y monitoreo de higiene industrial, si esta indicado) para confirmar que los controles de ingenieria funcionan segun lo disenado.	El paso omite la condicion si esta indicado y el proposito; misma direccion, sin dato nuevo.
O56-042	ANADIDO	L501; L537	Before changing operations, workstations, or workflow; making major organizational changes; or introducing new equipment, materials, or processes, seek the input of workers and evaluate the planned changes for potential hazards and related risks.	nuevos oficios como disparador de inspecciones adicionales (solo aparece en el libro de construccion OSHA3886 L515, no en OSHA3885)	Antes de cambiar operaciones, puestos o flujo de trabajo, hacer cambios organizativos importantes o introducir equipos, materiales o procesos nuevos, pide la opinion de los trabajadores y evalua los cambios previstos en busca de peligros y riesgos.	OSHA3885 habla de cambios en procesos, equipos y materiales; grep de trade en OSHA3885 solo da Trade associations. La llegada de nuevos oficios no esta en este libro.
