==========================================================================================
VUELTA 91, TAREA 4 (tercera mitad): ESCRITURA DE OP-E-07, 88 PARES
==========================================================================================
puesto 872    | ESCRITA        | customer_validation_sales_roadmap -> hoja_de_ruta_de_ventas (resuelto: sin alias)
puesto 886    | ESCRITA        | customer_discovery_overview -> fit_problema_solucion (resuelto: sin alias)
puesto 890    | ESCRITA        | customer_validation -> checkpoints_validacion (resuelto: sin alias)
puesto 896    | ESCRITA        | customer_validation -> realizar_pruebas_pasa_no_pasa (resuelto: sin alias)
puesto 902    | ESCRITA        | circulos_busqueda_cofundadores -> evaluacion_capital_para_cofundadores (resuelto: sin alias)
puesto 909    | ESCRITA        | estrategia_de_ventas -> influence_map_organizacional (resuelto: sin alias)
puesto 910    | ESCRITA        | evaluacion_industria_cliente -> voice_of_customer_estrategico (resuelto: sin alias)
puesto 940    | ESCRITA        | comprension_capacidades_limitaciones_ia -> principio_mejora_continua_ia (resuelto: invitar_ia_a_todo -> principio_mejora_continua_ia)
puesto 947    | ESCRITA        | customer_discovery -> product_market_fit (resuelto: sin alias)
puesto 951    | ESCRITA        | customer_development_process -> voz_del_cliente_voc (resuelto: sin alias)
puesto 960    | ESCRITA        | value_proposition_startup -> value_map (resuelto: sin alias)
puesto 974    | ESCRITA        | ciclo_de_conversion_de_efectivo -> gestion_cuentas_por_cobrar (resuelto: dso_dpo_gestion_capital_trabajo -> gestion_cuentas_por_cobrar)
puesto 983    | ESCRITA        | customer_discovery_overview -> realizar_pruebas_pasa_no_pasa (resuelto: sin alias)
puesto 993    | ESCRITA        | alineacion_etica_ia_negocio -> comprender_alineacion_etica_ia (resuelto: sin alias)
puesto 1009   | ESCRITA        | customer_discovery_phase2_problem_test -> fit_problema_solucion (resuelto: sin alias)
puesto 1020   | ESCRITA        | ocho_fases_experiencia_cliente -> fase_acclimate_experiencia_cliente (resuelto: fases_de_retencion_de_clientes -> fase_acclimate_experiencia_cliente)
puesto 1023   | ESCRITA        | customer_validation_sales_roadmap -> refinar_sales_roadmap (resuelto: sin alias)
puesto 1029   | ESCRITA        | customer_development_process -> prueba_solucion_con_cliente (resuelto: sin alias)
puesto 1055   | ESCRITA        | burn_rate_por_etapa -> cash_burn_calculation (resuelto: sin alias)
puesto 1057   | ESCRITA        | celebracion_hitos_cliente -> regalos_estrategicos_personalizados (resuelto: celebracion_hitos_cliente -> regalos_estrategicos_sorpresa)
