racimos censados: 32
nodos nombrados por alguna operacion: 251
miembros con repeticion: 171
nodos distintos: 168
SIN NINGUNA OPERACION QUE LOS NOMBRE: 150 de 168
miembros con repeticion sin operacion: 153 de 171
Crosby 14 pasos sin operacion: 3 de 3

TABLA POR RACIMO
  No culpar a la persona, arreglar el sistema | health_safety | 20 | sin op: 20
  Causas comunes y responsabilidad del sistema | quality | 12 | sin op: 12
  Cradle to cradle | environmental + nucleo | 11 | sin op: 11
  La estructura de cinturones de Six Sigma | quality | 9 | sin op: 9
  Portafolio: revisar, podar, reasignar | NUCLEO | 7 | sin op: 1
  Customer discovery: salir a hablar con el cliente | NUCLEO | 7 | sin op: 3
  Accion correctiva | quality | 7 | sin op: 7
  Los puntos de Deming en el titulo | quality | 7 | sin op: 7
  Auditoria de calidad | quality | 6 | sin op: 6
  Benchmarking | quality | 5 | sin op: 5
  Los cinco porques | NUCLEO | 5 | sin op: 4
  Pivotar o proceder | NUCLEO | 5 | sin op: 2
  El avance y el compromiso en la venta | NUCLEO | 5 | sin op: 5
  Mapeo del flujo de valor | quality + environmental + nucleo | 5 | sin op: 4
  Encuadre del problema (How Might We) | NUCLEO | 5 | sin op: 5
  Ciclo de mejora PDCA / PDSA | quality | 4 | sin op: 4
  Clasificacion de defectos | quality | 4 | sin op: 4
  Analisis de causa raiz | quality | 4 | sin op: 4
  Las reglas del brainstorming | nucleo (3) + quality (1) | 4 | sin op: 1
  Fitness for purpose | quality | 3 | sin op: 3
  Costo de calidad | quality | 3 | sin op: 3
  Metas de calidad | quality | 3 | sin op: 3
  Consejo de calidad | quality | 3 | sin op: 3
  Eliminacion de causas de error | quality | 3 | sin op: 3
  Plan y matriz de control | quality | 3 | sin op: 3
  Diversidad en el diseno | environmental | 3 | sin op: 3
  El efectivo contra la ganancia | NUCLEO | 3 | sin op: 3
  La etapa de investigacion en la venta | NUCLEO | 3 | sin op: 3
  Estrategia de innovacion de producto | NUCLEO | 3 | sin op: 3
  Programa de catorce pasos de Crosby | quality | 3 | sin op: 3
  Poka yoke | quality | 3 | sin op: 3
  Obtencion de compromiso | NUCLEO | 3 | sin op: 3
