OP-F-04-WEI: 13 nodos en el campo nodos
nodo                                            pasos   vivo  fuente
ab_testing_optimizacion                            15   True  The Startup Owner's Manual - Steve Blank | Traction - Gabriel Weinberg
analisis_trafico_competitivo                        8   True  The Startup Owner's Manual - Steve Blank | Traction - Gabriel Weinberg
coeficiente_viral                                  16   True  The Startup Owner's Manual - Steve Blank | Traction - Gabriel Weinberg
decision_pivote_perseverar                          9   True  The Lean Startup - Eric Ries | Traction - Gabriel Weinberg
earned_vs_paid_media                                8   True  The Startup Owner's Manual - Steve Blank | Traction - Gabriel Weinberg
enfoque_motor_unico_crecimiento                     9   True  The Lean Startup - Eric Ries | Traction - Gabriel Weinberg
fit_problema_solucion                               6   True  Value Proposition Design | Traction - Gabriel Weinberg
key_partners_hypothesis                            14   True  The Startup Owner's Manual - Steve Blank | Traction - Gabriel Weinberg
metricas_de_adquisicion_activacion                  9   True  The Startup Owner's Manual | Traction - Gabriel Weinberg
optimizacion_embudo_get_customers                  10   True  The Startup Owner's Manual - Steve Blank | Traction - Gabriel Weinberg
plan_de_adquisicion_acquire                        12   True  The Startup Owner's Manual - Blank, Steve | Traction - Gabriel Weinberg
sales_funnel_get_keep_grow                         10   True  The Startup Owner's Manual - Blank, Steve | Traction - Gabriel Weinberg
viral_loop_marketing                               30   True  The Startup Owner's Manual - Blank, Steve | Never Lose a Customer Again - Joey Coleman | Traction - Gabriel Weinberg
