# VUELTA 154, TAREA 3: MIS ADJUDICACIONES A CIEGAS DE LOS 41 PUESTOS DE LA MUESTRA.
#
# ESCRITO CON EL CIEGO DELANTE (docs/loop/SALIDA_V154_T3_CIEGA_BLIND.txt) Y EL
# REGISTRO CERRADO. No he leido la clase, ni la via, ni la cita, ni la razon
# escrita de ningun puesto de esta muestra en esta vuelta.
#
# LA CLAVE ES EL NUMERO DE CASO porque el ciego omite la cita a proposito.
#
# LA VARA QUE APLICO ES LA DEL BANCO 9.22, sus dos polos:
#   PROCEDIMIENTO en los dos sentidos, sobre DOS LINEAS DISTINTAS  ->  C
#   LINEA en los dos sentidos (repiten, mismo material con apostillas)  ->  A
# Y el limite que el propio 9.22 fija: lo que separa una cosa de la otra no es
# el parecido de los titulos ni la simetria del gesto, es CUANTO COINCIDE Y EN
# QUE ORDEN.
#
# formato: CASO N | CLASE | razon
CASO 1 | C | la ficha diaria/semanal/mensual con escalado y causa raiz contra el estandar ZD, su dia de lanzamiento y el borrado del lenguaje AQL: dos procedimientos enteros y ninguno es la madre
CASO 2 | C | el tune-up del lienzo con el feedback recibido contra la decision de reempaquetar (modulos, suscripcion, versiones); uno actualiza el lienzo, el otro decide que cambiar sin redisenar el producto
CASO 3 | C | el perfil de las trece motivaciones con CareerLeader contra los tres factores de carrera, mercado y personales y el plan para mitigar el mas debil: dos decisiones distintas, quien soy y cuando salto
CASO 4 | C | dos clausulas distintas del term sheet, cada una con su propia negociacion: weighted average contra full ratchet y sus carve-outs, contra la definicion de qualified financing y el pro rata minimo
CASO 5 | C | el cuestionario externo e interno y el cruce de percepciones contra la redaccion de la declaracion de posicionamiento; auditar no es redactar
CASO 6 | C | los diecinueve canales con experimentos baratos en paralelo contra la disciplina del camino critico que excluye lo no imprescindible: eleccion de canal contra eleccion de hito
CASO 7 | C | el calculo del retorno cash on cash del franquiciado contra la comparacion de cuatro escenarios de crecimiento frente a la meta personal; uno produce un numero, el otro elige una estrategia
CASO 8 | C | el bloque de canales del lienzo con sus cinco fases contra el manual concreto de un canal presencial (charla pequena, ponentes, sede, precio de entrada)
CASO 9 | C con reserva | los dos son auditorias del mismo proceso y ahi esta la tension; sostengo C porque uno mide adopcion, metricas, versiones escalables y gerente de proceso, y el otro mide paralelismo, saltos de etapa y peso del front-end, y ninguna de esas listas cabe en la otra
CASO 10 | C | designar al maestro, elegir la categoria de sintomas de bajo riesgo y fijar la regla que dispara la sesion contra correr la sesion (preguntar cinco veces, accion proporcional, sin culpar): montar la practica no es ejecutarla
CASO 11 | C con reserva | EL MAS TENSO DE LA MUESTRA: el paso 1 de uno y el paso 2 del otro son casi la misma frase. Sostengo C porque solo el primero trae el procedimiento de compatibilidad CON EL SOCIO antes de fundar (la matriz, el fork de roles, que hacer si los dos quieren control) y solo el segundo trae la evaluacion control contra valor en cada decision de financiamiento y las estructuras de voto diferenciado
CASO 12 | C | clasificar los datos del cliente en personales y emocionales y hacer rituales con ellos contra el rediseno de los procesos internos, la capacitacion masiva y la unificacion de herramientas: escalas y actos distintos
CASO 13 | C | cerrar el contrato (disputas resueltas, aceptacion, pagos finales, fecha de cierre) contra leer el informe periodico del contratista y sus pronosticos: cerrar no es monitorear
CASO 14 | C | dos artefactos de planificacion sin solape: precision, unidades, umbrales y valor ganado contra el censo de interesados con su influencia y su postura. LA FIGURA ES DELGADA (cuesta nombrar que linea de uno expande el otro), pero de fusion no tienen nada
CASO 15 | C | medir el costo de la mala calidad y fijar meta de reduccion contra la triloga de planificacion, control y mejora con la distincion pico esporadico contra desperdicio cronico
CASO 16 | C con reserva fuerte | EL QUE MENOS ME CONVENCE: los dos montan el sistema que recoge, analiza y difunde la informacion de incidentes, y la cultura de aprendizaje es UNO de los componentes de la cultura de seguridad, o sea huele a madre e hijo mas que a enlace mutuo. No lo tumbo porque el segundo trae la evaluacion de los cuatro subcomponentes y el escrito de por que vale la pena invertir, que el primero no tiene, pero lo marco como mi caso mas discutible
CASO 17 | C | la puerta de decidir pivotar o proceder, con el consejo asesor cuestionando el lienzo, contra el lienzo mismo y su procedimiento de llenado: la herramienta no es la decision
CASO 18 | C con reserva | se tocan en alinear los cinco drivers con la estrategia; sostengo C porque solo el primero mapea la cadena entera y aplica las seis preguntas de Chopra, y solo el segundo juzga si el entorno es estable o volatil y reajusta periodicamente
CASO 19 | C | el DMADV con sus CTQs y su verificacion antes de escalar contra las tres columnas de mas grande, mas pequeno y combinarlo: nada en comun
CASO 20 | C con reserva leve | los dos son disciplina de diagnostico; el primero es el principio con sus contrastes contra la creencia arraigada y el segundo es el vocabulario y el Pareto antes de empezar
CASO 21 | C | la nomina de documentos con su factura pro forma, su codigo HS y su declaracion de exportacion contra la decision de seguro de carga y de credito con su nivel de cobertura
CASO 22 | C | capacitar en metodos estadisticos a todo el que trabaja contigo contra la responsabilidad propia de aprender, estar donde se hace el trabajo y escribir tus propios reportes: ensenar a otros no es la obligacion de uno mismo
CASO 23 | C | redactar el plan de exportacion entero contra la nomina de programas de financiamiento del Ex-Im Bank y como se solicitan
CASO 24 | C | formular la pregunta de diseno abierta y iterarla contra el triple criterio de deseabilidad, viabilidad y factibilidad en emprendimientos sociales con sus equipos interdisciplinarios
CASO 25 | C | preparar al supervisor para el programa ZD (seis horas, manual, test de comprension, cuatro semanas antes) contra la identificacion del empleado con su trabajo (conocerlo, ensenarle el resultado final, ausentismo, autoevaluacion)
CASO 26 | C | hacer crecer al cliente que ya tienes (valor de vida, venta cruzada, referidos) contra conseguirlo (audiencia, contenido, comunidades, tacticas gratuitas y pagadas, tasa de activacion)
CASO 27 | C | decidir si franquiciar contra decidir la mezcla de locales propios y franquiciados con su estrategia de ubicacion y su regla de encroachment
CASO 28 | C | construir escenarios cruzando dos impulsores y narrarlos contra la tabla que junta todos los hallazgos previos con su timing, probabilidad e impacto
CASO 29 | C | la politica que prohibe usar dato de IA sin verificacion humana contra el uso de la IA como motor de recombinacion en la sesion de ideas: control de riesgo contra uso generativo
CASO 30 | C | auditar cuantos proyectos activos caben en la capacidad real contra el sistema de puntos de decision con sus criterios, su scorecard y sus cinco salidas: cuantos proyectos contra que hacer con cada uno
CASO 31 | C | elegir el Incoterm y el punto de transferencia de riesgo contra elegir el metodo de pago segun la solvencia del comprador y el riesgo pais
CASO 32 | C | LA FIGURA ES EXPLICITA AQUI: el paso 4 de las reglas de brainstorming pide una experiencia de inmersion previa, y eso es exactamente lo que el otro nodo procedimenta entero; y en el otro sentido, el brainstorming procedimenta la sesion que traduce lo observado en conceptos
CASO 33 | A | LA UNICA QUE TUMBO. Los cuatro pasos del primero contienen al segundo entero y EN EL MISMO ORDEN: su paso 2 es analizar sintomas, formular teorias, probarlas e identificar la causa raiz, que son los pasos 1 a 4 del segundo; su paso 3 es disenar e implementar el remedio, que son los pasos 5 y 6; su paso 4 es ajustar los controles, que es el paso 8. Es el mismo material a dos granularidades, con dos apostillas (el enunciado esporadico contra cronico de uno, la gestion de la resistencia del otro), que es la definicion literal del segundo polo del 9.22
CASO 34 | C con reserva | los dos son sesion de grupo alrededor del lienzo; sostengo C porque uno procedimenta LLENAR el lienzo y el otro procedimenta GENERAR muchos modelos y reducirlos a tres o cinco para prototipar
CASO 35 | C | el mapa de estado actual y futuro con su clasificacion de valor agregado contra el calculo del takt y el balanceo de estaciones
CASO 36 | C | el motor viral con su coeficiente y su mecanismo de transmision contra la eleccion entre los cuatro motores y el descarte de las metricas de vanidad: el caso concreto contra la eleccion entre casos
CASO 37 | C con reserva | se tocan en definir que necesita saber cada persona; sostengo C porque uno es la logistica (metodo, frecuencia, responsable, glosario) y el otro es la estrategia de compromiso (nivel actual contra deseado, postura, como moverla)
CASO 38 | C | el criterio de encaje problema solucion contra la construccion del producto minimo viable con su hipotesis critica y sus early adopters
CASO 39 | C | redactar la recomendacion SMART con su responsable y su fecha contra renombrar al equipo como equipo de aprendizaje y cambiar la pregunta
CASO 40 | C con reserva | los dos acaban en iterar o pivotar; sostengo C porque uno es la disciplina de la busqueda (modo busqueda contra ejecucion, hipotesis listadas, Customer Development) y el otro es la separacion vision, estrategia y producto con el ciclo construir medir aprender
CASO 41 | C | levantar deuda de riesgo (cuando, con quien, para que) contra sus condiciones de precio (tasa, comisiones, warrants, strike, banco contra fondo)
