id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
SB1-001	FIEL	L643	Each worker who operates an explosive- tool is trained in its use and has a valid operator's card.			Literal.
SB1-002	FIEL	L751	Workers are trained on the hazardous chemicals in their work area before initial assignment, and when new hazards are introduced.			Literal.
SB1-003	FIEL	L1443	Canopy structures are erected under elevated surfaces			Literal.
SB1-004	FIEL	L1281	When determined by an evaluation of worker noise exposure, a hearing conservation program has been implemented.			Parafrasis fiel.
SB1-005	ANADIDO	L921-L925	Train workers who may encounter animals as part of their job duties at least annually on how to protect themselves	capacitacion anual sobre mosquitos y garrapatas	Si tu trabajo o el de quien te ayuda implica contacto con animales, capacitate al menos una vez al año sobre cómo protegerte; si trabajas donde hay mosquitos o garrapatas, usa ropa protectora y repelente cuando aplique.	El libro pide capacitacion anual solo para quien trata con animales; para mosquitos y garrapatas pide ropa protectora (L923) y repelente (L925), no capacitacion anual. Grep mosquito/tick: solo L923, L925 y recursos L935.
SB1-006	FIEL	L741	Safety Data Sheets (SDS) for each hazardous chemical in the workplace are up-to-date and readily accessible to workers.			Literal.
SB1-007	FIEL	L1365	the appropriate and properly fitted PPE has been selected to provide suitable protection from these hazards.			Literal.
SB1-008	FIEL	L1297	Warning signs are posted where hearing protection is needed.			Parafrasis fiel.
SB1-009	FIEL	L1831-L1835	The general duty clause does not apply if there is an OSHA standard dealing with the hazard, unless the employer knows that the standard does not adequately address the hazard.			Accion derivada directa de la clausula (L1835 analyze the possible hazards), localizada al pais.
SB1-010	FIEL	L907; L931-L933	Implement a flexible sick leave policy that allows and encourages workers to stay home while sick.			Politica flexible (L907), registro (L931) y reporte de casos graves (L933), localizado al mercado.
SB1-011	FIEL	L647	Explosive-actuated tools are inspected for obstructions or defects before use.			Literal.
SB1-012	FIEL	L811	Standard operating procedures for cleaning up chemical spills are established and are being followed.			Literal.
SB1-013	FIEL	L611	Where flammable liquids are transferred and dispensed, appropriate grounding and bonding methods are used			Literal.
SB1-014	FIEL	L401	A qualified health care provider in work- MSDs has reviewed the medical protocols to manage reports and treatment of MSD signs and symptoms.			Parafrasis fiel.
SB1-015	FIEL	L1291	Workers in high noise areas are given periodic audiometric testing			Literal.
SB1-016	FIEL	L941	A lockout/tagout procedure has been developed in writing, and is reviewed at least annually.			Literal.
SB1-017	FIEL	L795	Eye-wash fountains and safety showers are provided and maintained in areas where hazardous chemicals are handled.			Literal.
SB1-018	FIEL	L403	A process is in place to periodically evaluate the steps taken to identify and control ergonomic risk factors			Parafrasis fiel.
SB1-019	FIEL	L1099-L1103	All ropes are thoroughly inspected at least once a month and a certification record ... is kept on file.			Mensual con registro de certificacion para cables (L1099) y ganchos y cadenas (L1103).
SB1-020	FIEL	L535	the workers are provided with initial training in their use and at least annually thereafter.			Parafrasis fiel.
SB1-021	FIEL	L727	Rotating or moving parts of equipment are guarded to prevent physical contact.			Literal.
SB1-022	FIEL	L89-L91	The checklists are based on several sources, including OSHA standards and generally accepted safety and health principles.			Parafrasis fiel, localizada al sector.
SB1-023	FIEL	L1371	Workers have been trained on PPE procedures, including what PPE is necessary for job tasks, when it is needed, and how to properly wear and adjust it.			Literal.
