id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
SB1-001	FIEL	L643-L643	Each worker who operates an explosive- tool is trained in its use and has a valid operator's card.			El libro pide exactamente capacitacion y tarjeta de operador valida.
SB1-005	ANADIDO	L921-L925	Train workers who may encounter animals as part of their job duties at least annually on how to protect themselves	capacitacion anual sobre mosquitos y garrapatas	Si tu trabajo o el de quien te ayuda implica contacto con animales, capacitate al menos una vez al ano sobre como protegerte, que hacer ante un rasguno o mordida y como reconocer un animal enfermo. Si trabajas en lugares con mosquitos o garrapatas, usa ropa protectora (pantalon largo y manga larga) y, en trabajo al aire libre, repelente cuando corresponda.	El libro pone la capacitacion anual solo para quien trata con animales; para mosquitos y garrapatas solo pide ropa protectora y repelente. Grep de tick y mosquito: solo L923 y L925, sin frecuencia de capacitacion.
SB1-008	OPERATIVO	L1297-L1297	Warning signs are posted where hearing protection is needed.		Colocar senales de advertencia donde se necesite proteccion auditiva.	El libro situa las senales donde se necesita proteccion auditiva; zonas de alto ruido es la misma idea concretada (L1287, L1291 hablan de areas ruidosas), sin dato nuevo.
SB1-014	FIEL	L401-L401	A qualified health care provider in work- MSDs has reviewed the medical protocols to manage reports and treatment of MSD signs and symptoms.			Parafrasis del libro: un profesional de salud calificado revisa los protocolos para atender los casos de TME.
SB1-020	FIEL	L535-L535	the workers are provided with initial training in their use and at least annually thereafter.			El libro pide capacitacion anual a los trabajadores designados; el paso no anade nada (omite la inicial, pero no la contradice).
SB1-026	FIEL	L1441-L1441	Toeboards, screens, or guardrail systems are erected to prevent objects from falling to lower levels.			Literal del libro.
SB1-031	OPERATIVO	L631-L631	Spills of flammable or combustible liquids are cleaned up promptly.		Limpiar con prontitud los derrames de liquidos inflamables o combustibles.	El libro pide limpiar pronto los derrames; convertirlo en procedimiento concreta lo mismo (L811 pide procedimientos para derrames quimicos y L1569 limpiar de inmediato), sin dato nuevo.
SB1-032	ANADIDO	L851-L851	An acclimatization plan is in place to modify work duties for and to closely supervise (1) new workers, (2) temporary or contract workers, and (3) workers returning from extended leave to ensure they gradually build tolerance to heat.	14 dias	Ajustar las tareas de los trabajadores nuevos, temporales o que vuelven de una ausencia larga y supervisarlos de cerca para que ganen tolerancia al calor poco a poco.	El libro pide adaptacion gradual sin plazo. Grep de 14, fourteen, two weeks, days: el unico 14 es de muertes por dia (L19). El plazo es inventado.
SB1-034	FIEL	L1053-L1053	Workers are trained on safe methods of machine operation.			Literal del libro.
SB1-040	FIEL	L1321-L1329	Appropriate atmospheric tests are performed to check for oxygen deficiency, flammable gases and vapors, and for potential toxic air contaminants in the confined space before entry.			El libro pide pruebas antes de entrar (L1321) y pruebas frecuentes o monitoreo continuo durante el trabajo (L1329), con los mismos tres parametros.
SB1-045	CONTRARIO	L949-L949	Machinery or equipment is locked out at the main power source; not at a push button, selector switch, or other control circuit type device.	bloquear en el pulsador o selector de control	Bloquear el equipo en la fuente de energia principal, nunca en un pulsador, selector u otro dispositivo del circuito de control.	El libro prohibe expresamente bloquear en pulsador o selector; ningun pasaje apoya el paso (grep de push button solo da L949).
SB1-046	OPERATIVO	L69-L69	By developing and implementing a safety and health program, you are expressing and documenting your good faith and commitment to protecting your workers' health and safety.		Desarrolla y aplica un programa de seguridad y salud: asi expresas y documentas tu buena fe y tu compromiso con proteger la salud y la seguridad de quienes trabajan contigo.	El pasaje de la clausula (L1831-L1833) no habla de documentar, pero L69 dice que el programa documenta la buena fe del empleador; el paso va en esa direccion. Grep de diligen: nada, por eso se reescribe sin la palabra diligencia.
SB1-048	FIEL	L537-L539	Portable fire extinguishers of the appropriate types(s) are provided in adequate numbers, and mounted in readily accessible locations. NOTE: Refer to National Fire Protection Association standard #10 (NFPA 10) for guidance on types, numbers, and locations.			El libro pide ubicaciones accesibles y remite a NFPA 10 para las ubicaciones.
SB1-054	FIEL	L85-L85	Consultants from OSHA's On-Site Consultation programs in all states, the District of Columbia and most territories can help small business employers with this process at no cost.			Parafrasis localizada: el libro ofrece consultoria gratuita que el empleador solicita (L1785 employers request a consultation visit).
SB1-060	FIEL	L1339-L1341	A trained and equipped attendant is positioned outside the confined space, whose sole responsibility is to watch the work in progress, sound an alarm if necessary, and render assistance.			El libro pide vigilante capacitado fuera del espacio (L1339) y comunicacion operable mientras hay gente dentro (L1341).
SB1-066	FIEL	L1305-L1307	The workplace has been evaluated and permit-required confined spaces have been identified.			El libro pide identificar los espacios (L1305) y poner senales de peligro u otro medio igual de eficaz (L1307).
SB1-072	OPERATIVO	L1565-L1581	Holes in the floor, sidewalk, and other walking-working surfaces are repaired properly, covered, and otherwise made safe.		Repara bien los huecos en pisos y pasillos, cubrelos o dejalos seguros de otro modo, y corrige cualquier condicion peligrosa antes de que alguien vuelva a usar esa superficie.	El libro pide reparar, cubrir o asegurar los huecos y corregir la condicion antes de volver a usar la superficie (L1581); de inmediato va en la misma direccion y no contradice ese plazo.
SB1-073	OPERATIVO	L1855-L1863	The worker may have a legal right to refuse to work if the condition clearly presents a risk of death or serious physical harm, there is not sufficient time for OSHA to inspect, and, where possible, a worker has brought the condition to the attention of the employer.		Si tienes a alguien a cargo de otros, asegurate de que sepa que un trabajador puede tener el derecho legal de negarse a trabajar si la condicion presenta claramente un riesgo de muerte o dano fisico grave, no hay tiempo para una inspeccion y, cuando es posible, ya la aviso; y que no se le puede despedir ni tomar represalias por ejercer sus derechos de seguridad.	El libro no pide formar a supervisores sobre esto, pero si reconoce el derecho a negarse y prohibe las represalias (L1855); ensenar a respetarlo concreta eso sin cifra, plazo ni norma nueva.
SB1-074	CONTRARIO	L1603-L1603	Fuel gas cylinders and oxygen cylinders in storage are separated by a distance of at least 20 feet, or by a non-combustible barrier at least 5 feet (1. 5m) high, having a fire-resistance rating of at least 30 minutes.	10 pies	Separar en almacen los cilindros de oxigeno y los de gas combustible al menos 20 pies (unos 6 metros), o con una barrera no combustible de al menos 5 pies (1,5 m) de alto y resistencia al fuego de al menos 30 minutos.	El libro da otra distancia (20 pies); grep de 10 feet y ten feet sin resultados. Distancia cambiada: contrario.
SB1-075	FIEL	L1193-L1193	Pallets are inspected before being loaded or moved.			Literal del libro.
SB1-077	ANADIDO	L807-L807	Materials that give off toxic, asphyxiant, suffocating, or anesthetic fumes are stored in remote or isolated locations when not in use.	o ventiladas	Guardar los materiales que desprenden humos toxicos, asfixiantes, sofocantes o anestesicos en lugares remotos o aislados cuando no se usen.	El libro pide lugares remotos o aislados; la alternativa ventiladas no aparece para toxicos (grep de ventilat: solo inflamables L613, soldadura, espacios confinados, calor, general).
SB1-081	OPERATIVO	L81-L83	identify hazards, control identified hazards, and monitor and evaluate hazard controls to verify that they continue to be effective.		Controlar los peligros identificados y vigilar que esos controles sigan funcionando.	Corregir los peligros es el control que pide el libro; priorizar concreta como empezar (L93 sugiere empezar por las areas mas criticas), sin dato nuevo.
SB1-083	OPERATIVO	L683-L683	All tools and equipment (both company and worker-owned) used at the workplace are in good condition.		Mantener en buen estado todas las herramientas y equipos que se usan, sean de la empresa o de los trabajadores, e inspeccionar a la vista antes de usarlos los equipos electricos con cable y las extensiones.	El libro exige buen estado (L683) e inspeccion antes de usar en equipos con cable (L329); inspeccionar regularmente concreta eso sin frecuencia nueva.
SB1-084	FIEL	L1525-L1525	Ladders with structural or other defects are immediately tagged "Dangerous: Do Not Use" or with similar language and removed from service until repaired or replaced.			El libro pide etiquetar Peligroso: No Usar o similar y retirar de servicio.
SB1-089	ANADIDO	L549-L549	Fire extinguishers receive an annual maintenance check, and the maintenance is recorded.	certificado	Programar una revision anual de mantenimiento de los extintores y dejarla registrada.	El libro pide mantenimiento anual registrado, no certificado; grep de certif solo da alarma de incendio (L581), cables, cadenas y montacargas.
SB1-091	OPERATIVO	L1039-L1051	Pulleys and belts within 7 feet (2.1336 meters) of the floor or working level are properly guarded.		Proteger a los operadores de los puntos de operacion y las partes giratorias, poner guardas en cadenas y engranajes en movimiento, y en poleas y correas que esten a menos de 7 pies (2,13 m) del piso o nivel de trabajo.	El libro limita el umbral de 7 pies solo a poleas y correas (L1049); puntos de operacion (L1039) y engranajes (L1051) se protegen sin esa condicion. El paso es ambiguo; el texto fiel separa el umbral.
SB1-092	FIEL	L1535-L1535	Stair rail systems and handrails are provided on all stairways having at least four risers.			Mismo umbral que el libro: cuatro o mas peldanos.
SB1-098	ANADIDO	L743-L745	Labels are kept on shipped containers; including: product identifier, signal word, hazard statement(s), pictogram(s), precautionary statement(s), and supplier information.	sistema GHS	Mantener las etiquetas de los contenedores recibidos (identificador del producto, palabra de advertencia, indicaciones de peligro, pictogramas, consejos de prudencia y datos del proveedor) y etiquetar los contenedores del lugar de trabajo cuando se requiera, por ejemplo al trasvasar a envases mas pequenos.	El libro describe los elementos de la etiqueta pero no nombra el GHS; grep de GHS y Globally sin resultados. Norma no citada.
SB1-099	FIEL	L1567-L1567	Material and equipment is stored in such a way that projections do not interfere with walkways.			Parafrasis del libro (tambien L1177, pasillos despejados).
SB1-105	FIEL	L1279-L1279	Noise levels have been measured with a sound level meter or an octave band analyzer and records are being kept.			Mismos instrumentos que el libro.
SB1-109	ANADIDO	L1277-L1279	Noise levels have been measured with a sound level meter or an octave band analyzer and records are being kept.	dosimetro personal, cada trabajador, toda la jornada	Medir los niveles de ruido con un sonometro o un analizador de bandas de octava y guardar los registros.	El libro nombra sonometro o analizador de bandas de octava; grep de dosim y personal noise sin resultados, ni medicion por trabajador ni por jornada completa. El libro no desaconseja el dosimetro, por eso es anadido y no contrario.
SB1-110	OPERATIVO	L1863-L1863	where possible, a worker has brought the condition to the attention of the employer.		Cuando alguien te avise de una condicion peligrosa, revisala y corrigela antes de que se vuelva a trabajar en ella.	El libro supone que el trabajador avisa al empleador y en todo el texto pide encontrar y corregir peligros (L59, L1581); revisar y corregir concreta eso sin cifra ni plazo concreto.
SB1-113	OPERATIVO	L1063-L1073	A power shut-off switch is provided within reach of the operator's position at each machine.		Proveer en cada maquina un interruptor de corte de energia al alcance del operador, y que los botones de paro de emergencia sean rojos.	El libro separa dos cosas: interruptor de corte al alcance (L1063) y botones de paro de emergencia rojos (L1073); el paso las junta en la misma direccion.
SB1-118	OPERATIVO	L1499-L1499	Workers face the ladder and maintain three points of contact (two hands and a foot, or two feet and a hand) on the ladder when climbing.		Asegurar que los trabajadores suban de frente a la escalera y mantengan tres puntos de contacto (dos manos y un pie, o dos pies y una mano).	El libro pide que el trabajador mantenga tres puntos de contacto; capacitar para ello concreta la practica sin dato nuevo.
SB1-120	FIEL	L1157-L1157	Operators are instructed to avoid carrying loads above people, and provisions are made to ensure that no one is below hoisted material or equipment.			El libro pide asegurar que nadie este debajo de la carga izada (tambien L1227).
