MEDICION DE LA PUERTA DE CALIBRACION, vuelta 40, 19 ago 2026
Umbrales VIGENTES y NO tocados: pareja 80, bloque 44. MIN_PASOS_BLOQUE 4.
Grafo: 3853 nodos, 3534 activos.

1. LA CALIBRACION VIEJA, medida hoy contra el grafo de hoy
  plan_mejora_procesos                          core             5 pasos | pareja  47.1 (1 y 3) | bloque  43.1 (corte tras 2, margen -0.9)  | entra por NINGUNA
  economia_circular_como_modelo_de_negocio      core             5 pasos | pareja  54.3 (4 y 5) | bloque  44.2 (corte tras 3, margen +0.2)  | entra por bloque
  NO ENTRAN EN LA COLA HOY: ['plan_mejora_procesos']

2. LOS NOMBRADOS por el reporte y el acta de la vuelta 39, RE-MEDIDOS
  reglas_brainstorming                          core             7 pasos | pareja  54.3 (2 y 4) | bloque  50.6 (corte tras 2, margen +6.6)  | entra por bloque
  pensamiento_convergente_divergente            core             7 pasos | pareja  48.1 (3 y 7) | bloque  43.8 (corte tras 4, margen -0.2)  | entra por NINGUNA
  errores_comunes_asignacion_roles              core             5 pasos | pareja  49.5 (1 y 3) | bloque  45.5 (corte tras 2, margen +1.5)  | entra por bloque
  seleccion_ceo_fundador                        core             4 pasos | pareja  51.3 (1 y 3) | bloque  43.6 (corte tras 2, margen -0.4)  | entra por NINGUNA
  asignacion_de_titulos_ejecutivos              core             5 pasos | pareja  43.3 (4 y 5) | bloque  40.6 (corte tras 2, margen -3.4)  | entra por NINGUNA
  propuesta_gasto_capital                       core             5 pasos | pareja  53.2 (3 y 4) | bloque   0.0 (corte tras 0, margen -44.0) | entra por NINGUNA

3. EL BARRIDO ENTERO del catalogo activo, para elegir con la vara delante
  evaluados: 3534 | en la cola: 1496 | por bloque: 1494 | por pareja: 5

  LOS VEINTE DE BLOQUE MAS ALTO (candidatos a fixture):
  fases_traccion_producto                       core             7 pasos | pareja  76.3 (1 y 5) | bloque  72.6 (corte tras 4, margen +28.6) | entra por bloque
  producto_como_servicio_de_acceso              core             8 pasos | pareja  71.0 (2 y 6) | bloque  67.0 (corte tras 4, margen +23.0) | entra por bloque
  blue_ocean_four_actions                       core             7 pasos | pareja  68.4 (2 y 4) | bloque  66.1 (corte tras 3, margen +22.1) | entra por bloque
  lienzo_modelo_negocio                         core             17 pasos | pareja  66.0 (7 y 15) | bloque  65.6 (corte tras 13, margen +21.6) | entra por bloque
  investigar_datos_cliente                      core             11 pasos | pareja  70.5 (1 y 9) | bloque  63.2 (corte tras 8, margen +19.2) | entra por bloque
  clasificacion_leads_abc                       core             10 pasos | pareja  63.3 (3 y 8) | bloque  62.0 (corte tras 6, margen +18.0) | entra por bloque
  articular_etica_valores                       quality          5 pasos | pareja  65.6 (2 y 5) | bloque  61.9 (corte tras 3, margen +17.9) | entra por bloque
  definicion_alineacion_cadena_suministro       core             7 pasos | pareja  64.9 (1 y 6) | bloque  61.6 (corte tras 5, margen +17.6) | entra por bloque
  customer_development_weekly_lessons_learned   core             6 pasos | pareja  76.4 (3 y 5) | bloque  60.8 (corte tras 4, margen +16.8) | entra por bloque
  metodo_conversion_notas_cap_table             core             6 pasos | pareja  63.8 (2 y 3) | bloque  60.0 (corte tras 3, margen +16.0) | entra por bloque
  formalizar_un_proceso_ad_hoc                  core             10 pasos | pareja  60.0 (4 y 8) | bloque  59.9 (corte tras 5, margen +15.9) | entra por bloque
  csf_funcion_govern                            seguridad_digital 7 pasos | pareja  62.0 (1 y 5) | bloque  59.8 (corte tras 4, margen +15.8) | entra por bloque
  evaluar_controles                             seguridad_digital 5 pasos | pareja  63.4 (2 y 4) | bloque  59.0 (corte tras 2, margen +15.0) | entra por bloque
  coordinacion_colaboracion_cadena_suministro   core             12 pasos | pareja  59.7 (4 y 10) | bloque  58.9 (corte tras 7, margen +14.9) | entra por bloque
  activity_attributes                           core             5 pasos | pareja  66.7 (1 y 4) | bloque  58.1 (corte tras 3, margen +14.1) | entra por bloque
  bullseye_framework                            core             11 pasos | pareja  63.5 (1 y 7) | bloque  57.9 (corte tras 6, margen +13.9) | entra por bloque
  reporte_estado_miembro_equipo                 core             6 pasos | pareja  67.2 (3 y 6) | bloque  57.8 (corte tras 4, margen +13.8) | entra por bloque
  validacion_certificaciones_terceros           environmental    4 pasos | pareja  59.2 (1 y 3) | bloque  57.7 (corte tras 2, margen +13.7) | entra por bloque
  tipos_innovacion_i_ii                         quality          6 pasos | pareja  84.1 (2 y 3) | bloque  57.1 (corte tras 3, margen +13.1) | entra por pareja y bloque
  falacia_redundancia_social                    health_safety    4 pasos | pareja  59.8 (1 y 3) | bloque  57.0 (corte tras 2, margen +13.0) | entra por bloque

  LOS QUE ROZAN EL UMBRAL (margen menor que 1,0), o sea los FRAGILES:
  diseno_para_sostenibilidad_cradle_to_cradle   core             4 pasos | pareja  47.5 (1 y 4) | bloque  45.0 (corte tras 2, margen +1.0)  | entra por bloque
  test_card                                     core             6 pasos | pareja  47.6 (2 y 3) | bloque  45.0 (corte tras 4, margen +1.0)  | entra por bloque
  get_customers_funnel_webmobile                core             6 pasos | pareja  59.9 (4 y 5) | bloque  45.0 (corte tras 2, margen +1.0)  | entra por bloque
  prepare_phase_roadmap                         quality          5 pasos | pareja  46.5 (1 y 4) | bloque  45.0 (corte tras 3, margen +1.0)  | entra por bloque
  ecuacion_de_valor                             core             4 pasos | pareja  45.9 (1 y 3) | bloque  45.0 (corte tras 2, margen +1.0)  | entra por bloque
  empathy_map                                   core             5 pasos | pareja  54.0 (2 y 5) | bloque  45.0 (corte tras 3, margen +1.0)  | entra por bloque
  educacion_estadistica_para_la_calidad         quality          5 pasos | pareja  49.4 (1 y 5) | bloque  45.0 (corte tras 3, margen +1.0)  | entra por bloque
  financiamiento_sba_exportacion                exportacion      6 pasos | pareja  51.6 (4 y 6) | bloque  45.0 (corte tras 3, margen +1.0)  | entra por bloque
  decision_marca_comun_branding                 franquicias      4 pasos | pareja  46.7 (1 y 3) | bloque  44.9 (corte tras 2, margen +0.9)  | entra por bloque
  cofundar_con_amigos_familia_riesgos           core             5 pasos | pareja  48.1 (1 y 4) | bloque  44.9 (corte tras 3, margen +0.9)  | entra por bloque
  sistemas_de_extincion_de_incendios            health_safety    4 pasos | pareja  59.9 (1 y 4) | bloque  44.9 (corte tras 2, margen +0.9)  | entra por bloque
  tripod_delta_general_failure_types            health_safety    6 pasos | pareja  50.0 (1 y 2) | bloque  44.9 (corte tras 4, margen +0.9)  | entra por bloque
  teatro_del_exito                              core             4 pasos | pareja  50.7 (1 y 3) | bloque  44.9 (corte tras 2, margen +0.9)  | entra por bloque
  framework_ones_and_twos                       core             5 pasos | pareja  53.4 (3 y 5) | bloque  44.9 (corte tras 2, margen +0.9)  | entra por bloque
  materials_handling_safety                     health_safety    5 pasos | pareja  51.7 (1 y 2) | bloque  44.9 (corte tras 3, margen +0.9)  | entra por bloque
  equipo_forma_t                                core             4 pasos | pareja  51.1 (1 y 3) | bloque  44.9 (corte tras 2, margen +0.9)  | entra por bloque
  identificar_high_value_jobs                   core             4 pasos | pareja  50.4 (1 y 3) | bloque  44.9 (corte tras 2, margen +0.9)  | entra por bloque
  fase_entendimiento_investigacion_mercado      core             6 pasos | pareja  50.0 (1 y 5) | bloque  44.9 (corte tras 4, margen +0.9)  | entra por bloque
  adaptaciones_sectoriales_iso                  quality          4 pasos | pareja  51.5 (2 y 4) | bloque  44.9 (corte tras 2, margen +0.9)  | entra por bloque
  fase_acclimate_experiencia_cliente            core             5 pasos | pareja  47.6 (2 y 3) | bloque  44.9 (corte tras 3, margen +0.9)  | entra por bloque
  prepara_posicion_agenda_antes_negociar        compras          6 pasos | pareja  52.8 (5 y 6) | bloque  44.9 (corte tras 4, margen +0.9)  | entra por bloque
  customer_validation_sell_phase                core             5 pasos | pareja  51.5 (4 y 5) | bloque  44.9 (corte tras 3, margen +0.9)  | entra por bloque
  experimentacion_iterativa_mercado_fisico      core             5 pasos | pareja  47.1 (1 y 3) | bloque  44.9 (corte tras 2, margen +0.9)  | entra por bloque
  diseno_sistemico_partes_interesadas           core             5 pasos | pareja  51.0 (2 y 4) | bloque  44.9 (corte tras 3, margen +0.9)  | entra por bloque
  eliminacion_gestion_por_objetivos_y_numeros   quality          4 pasos | pareja  46.3 (1 y 2) | bloque  44.9 (corte tras 2, margen +0.9)  | entra por bloque
  normalizacion_de_la_desviacion                health_safety    6 pasos | pareja  48.6 (1 y 6) | bloque  44.9 (corte tras 4, margen +0.9)  | entra por bloque
