id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
DK2-001	FIEL	L1014-L1018	Tell the story back to them as investigator. This is to check whether you understand the story as the participants understood it.			Paso 2 del orden de Klein, literal.
DK2-051	FIEL	L1105-L1111	Make the disagreements and inconsistencies, if any, explicit in your account of the event. ... see disagreements and inconsistencies not as impairments of your investigation, but as additional human factors data for it.			Parafrasis directa.
DK2-055	FIEL	L1014-L1016	Have participants tell the story from their point of view, without presenting them with any replays or reminders that supposedly "refresh their memory" but would actually distort it.			Paso 1 del orden de Klein, parafraseado.
DK2-098	CONTRARIO	L1014-L1022	Have participants tell the story from their point of view, without presenting them with any replays or reminders that supposedly "refresh their memory" but would actually distort it.	mostrar la grabacion o reproduccion antes de que narre, para refrescar su memoria	No mostrar al participante grabaciones ni reproducciones del evento antes de que narre su version: esos recordatorios que supuestamente refrescan la memoria en realidad la distorsionan	El libro desaconseja justo eso en el paso 1; la reproduccion solo cabe en el paso 4 para llenar huecos, despues del relato.
DK2-101	FIEL	L1020	If you had not done so already, identify (together with participants) the critical junctures in a sequence of events.			Paso 3 del orden de Klein, literal.
DK2-109	FIEL	L1022-L1036	At each juncture in the sequence of events ... you want to get to know: Which cues were observed ... Did participants have any experience with similar situations ... What expectations ... what options did they think they have			Lista de preguntas por punto critico; metas en L1078-L1082.
DK2-013	FIEL	L1698-L1720	Fragments of behavior are frequently compared with procedures or regulations, which can be found to have been applicable in hindsight. ... sheds little light on the why of the behavior in question			Micro-matching con procedimientos, parafraseado.
DK2-042	FIEL	L1720; L1987	There is almost always a gap between how work is imagined (in rules) and how it is done (in practice) ... Trace the difference between work as imagined and work as actually done.			El libro pide trazar esa diferencia.
DK2-056	FIEL	L1685; L1720	Remember, you want to understand why it made sense for these people to do what they did. ... Showing that there was a mismatch between procedure and practice sheds little light on the why			Parafrasis directa.
DK2-073	OPERATIVO	L1737-L1740; L1702-L1704	it does not explain the observed behavior. You have substituted your own world for the one that surrounded the people in question. ... micro-matching fragments of behavior with these various standards explains nothing--it only judges.		No usar 'estándares de buena práctica' aplicados a posteriori para explicar el comportamiento: no lo explican, solo lo juzgan	Misma direccion, pero 'como unica explicacion' suaviza el libro, que dice que no explican nada.
DK2-089	FIEL	L1726-L1730	data availability: what can be shown to have been physically available ... data observability: what would have been observable given the features of the interface and the multiple interleaving tasks			Distincion literal.
DK2-026	OPERATIVO	L1756-L1758	Each of the bits that gets lumped together with other "similar" ones actually has its own story ... Their similarity is entirely in the eye of you, the retrospective beholder.		Reconocer que la 'similitud' entre fragmentos está en los ojos del investigador retrospectivo, no en la situación	El libro afirma que la similitud es enteramente del investigador; el paso lo convierte en algo a verificar.
DK2-034	FIEL	L1762; L1779-L1790	Cherry-picking means taking fragments from all over the record and constructing a story with them that exists only in your hindsight. ... try to reconstruct which cues came when			Reconstruir la situacion completa frente a la historia de piezas sueltas.
DK2-041	FIEL	L1760	Much performance, much behavior, takes place in between the fragments that you select to build your case. These intermediary episodes contain changes and evolutions in perceptions and assessments			Parafrasis directa.
DK2-086	FIEL	L1758	Each cherry, each fragment, is meaningless outside the context that produced it.			Parafrasis directa.
DK2-091	FIEL	L1756	This is called "cherry-picking"--selecting those bits that help an a-priori argument.			Parafrasis directa.
DK2-023	FIEL	L1890	This is how practitioners create safety: they invest in their understanding of how systems can break down, and then devise strategies that help forestall failure.			Estrategias del piloto con los spoilers.
DK2-053	FIEL	L1880; L1892	Error has its roots in the system surrounding it ... The deeper you dig, the more you will understand why people did what they did, based on the tools and tasks and environment			Parafrasis.
