MIS CLASES A CIEGAS, VUELTA 179 (auditoria de la vuelta 178).
Escritas ANTES de abrir docs/loop/_auditor_v179_destape.txt.
Zona: MARCADO = lado SIN MARCA DE NINGUNA DE LAS DOS (discutible D.6 del reporte 178).
      FUERA   = lado CON MARCA de alguna de las dos reglas.
puesto;mi_clase;zona
207;A;FUERA
219;A;FUERA
280;A;FUERA
334;A;FUERA
371;A;FUERA
394;A;FUERA
451;A;FUERA
460;A;FUERA
467;A;FUERA
507;A;FUERA
511;A;FUERA
530;D;FUERA
572;D;MARCADO
573;D;MARCADO
636;D;MARCADO
639;A;MARCADO
641;A;MARCADO
730;A;MARCADO
787;A;MARCADO
791;A;MARCADO
863;D;FUERA
878;A;FUERA
994;D;MARCADO
1121;A;FUERA
1193;A;MARCADO
1346;A;MARCADO
1371;A;MARCADO
1374;D;MARCADO
2421;A;FUERA
2424;A;FUERA
2438;D;FUERA
2927;D;MARCADO
3102;D;MARCADO
