MIS CLASES, ESCRITAS ANTES DE ABRIR EL DESTAPE Y ANTES DE MIRAR NINGUNA RAZON.
Vuelta 195. Sujeto: los 30 vecinos deterministas sellados en
docs/loop/SELLO_APERTURA_AUDITOR_V195.json, leidos de
docs/loop/_auditor_v195_ciega_blind.txt.
VARA: docs/BANCO_DE_TEXTOS.md 9.6.1, RAMA CONTENIDO-MANDA, LA LINEA O EL
PROCEDIMIENTO. Se lee el nodo B entero, se le quita lo que A ya dice, y de lo
que queda se pregunta si cabe en una linea (REPITE, clase A) o si es una
secuencia de acciones con su propia logica (CONTINUA, clase D).

puesto | mi clase | por que, en una linea
-------|----------|----------------------
10   | D | Criterios de eleccion contra investigacion de mercado previa: dos procedimientos distintos sobre la misma compra.
24   | D | La tecnica del permiso para decir que no contra la tecnica del silencio: dos tacticas con su propia secuencia.
71   | D | Preparacion y agenda antes de negociar contra una tactica de dentro de la negociacion.
133  | D | Documentar exclusiones y control de cambios contra bitacora de lecciones al cerrar: momentos y artefactos distintos.
159  | D | Titular la garantia full o limited contra el checklist de cumplimiento de la ley: lo que queda tras quitar el titulo es procedimiento.
204  | D | Terminos economicos del venture debt contra el detalle entero del warrant: siete pasos propios que el otro no tiene.
397  | D | Capacidades del fundador contra evaluacion desapasionada de la idea: objetos distintos.
613  | D | La matriz probabilidad-impacto contra el plan de gestion de riesgos entero (metodo, roles, reservas).
654  | D | Tacticas de activacion generales contra herramientas web especificas (demo, landing por fuente).
719  | A | REPITE. Quitado lo que la bienvenida multicanal ya dice (elegir canal, personalizar, medir), lo que queda es una linea: hazlo cuando el cliente logra algo.
880  | A | REPITE. El marcador visual esta contenido en la tribu de marca, y el ultimo paso es identico palabra por palabra; lo que queda es una linea.
908  | A | REPITE. Cuatro pasos en el mismo orden y con el mismo contenido; lo unico que anade es mercados existentes en vez de emergentes, y eso es una linea.
973  | D | Registrar datos del cliente en el CRM contra usar esos datos para personalizar: agrupar por intereses y disenar eventos es procedimiento propio.
974  | D | DSO y DPO como aritmetica del capital de trabajo contra la gestion de cobranza con reserva y morosos.
1070 | D | Hipotesis de segmentos contra la puerta de product-market fit: criterios y decision distintos.
1206 | D | Relacion continua con el cliente contra el riesgo de las tecnicas de cierre en venta compleja: clasificar la venta y mover el esfuerzo a etapas previas es procedimiento.
1372 | D | Garantias implicitas contra la prohibicion de ventas atadas: dos obligaciones legales distintas.
1807 | D | Comprar energia limpia por contrato contra el abanico de fuentes: analizar el mix e instalar en sitio es procedimiento propio. LO MARCO DISCUTIBLE: los nombres son casi sinonimos y el solape es grande.
1818 | A | REPITE. El tercer paso es identico palabra por palabra y los otros dos estan contenidos; no queda nada.
2031 | D | El certificado de origen contra la documentacion de exportacion entera.
2158 | D | Registro estatal de franquicias contra revision legal del material de marketing.
2427 | D | Cautelas para armar el ROI contra la secuencia entera de estimar y calcular el ROI. LO MARCO DISCUTIBLE: los dos nombres dicen ROI de calidad.
2661 | D | Califica al COMPRADOR contra califica al PROVEEDOR: el sujeto medido es otro.
2837 | D | Reuniones de supervision y escalamiento contra el formulario de causas de error con acuse en 24 horas.
2914 | D | Auditoria de calidad con sus auditores y autoauditorias contra auditoria de negocio guiada por preguntas.
3071 | D | Auditorias de vigilancia de la certificacion contra el concepto y tipos de auditoria.
3090 | D | Definir calidad desde las necesidades del cliente contra el choque aptitud-de-uso frente a conformidad con especificacion.
3172 | D | El programa de mejora de Crosby contra redactar y desplegar la politica de calidad.
3186 | D | El proceso entero de benchmarking contra la descomposicion de la brecha bruta en brecha neta y vital few.
3330 | A | REPITE. Quitada la revision periodica que el otro ya manda, lo que queda (acepta que nunca es cero, celebra lo evitado) cabe en una linea. LO MARCO DISCUTIBLE: tres de sus cuatro pasos son de actitud, no de accion.

RESUMEN DE MI LECTURA: A 5, B 0, C 0, D 25. Tasa de A: 16,7 por ciento.
MIS DISCUTIBLES, MARCADOS ANTES DE SABER SI ACIERTO: 1807, 2427 y 3330.
