id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
DK1-001	OPERATIVO	L3268-L3279	Engaging people with an external drive “to be safe” through posters, reminders, stickers and campaigns denies or downplays the existence or relevance or power of this internal motivation.		No apoyar la motivación por la seguridad en un impulso externo (posters, recordatorios, pegatinas, campañas, palos y zanahorias), que niega o minimiza la motivación interna que la gente ya tiene.	El libro critica las campañas externas y la motivación impuesta con palos y zanahorias (L3279); no formula la orden de evitarlas ni el matiz 'solo', pero el paso concreta en su misma dirección sin datos nuevos.
DK1-002	OPERATIVO	L294-L308	But does that help in the long run--or even the short run? It doesn’t.		Revisa si las contramedidas que aplicaste (deshacerte de 'manzanas podridas', poner más reglas y exigencias de cumplimiento, pedir más vigilancia con posters o memos, sustituir personas por tecnología) resolvieron el problema; el libro sostiene que no ayudan ni a corto ni a largo plazo y tienen efectos negativos.	El libro responde él mismo que esas medidas no funcionan y explica sus efectos negativos; pedir evaluarlas es una concreción en la misma dirección.
DK1-006	ANADIDO	L430-L430; L862	Real understanding comes from putting yourself in the shoes of the people on the inside of the sequence of events; on the inside of the tunnel.	La 'prueba de sustitución de Johnston' y la cifra de tres colegas con la misma formación: el libro no menciona a Johnston ni esa prueba (buscado substitut, Johnston, three colleagues, peers).	Ponte en el lugar de las personas dentro del túnel y pregunta por qué tenía sentido para ellas hacer lo que hicieron, sin conocer el resultado; si tuvo sentido para ellas, puede tenerlo también para otros.	El libro pide adoptar la perspectiva desde dentro del túnel y el principio de racionalidad local (L382), pero no contiene ninguna prueba de sustitución ni el número de tres colegas.
DK1-007	OPERATIVO	L3565-L3578	Zero vision is defined by its dependent variable: the outcome. It is not defined by its control variables: the safety inputs that everyone in the organization makes.		Define tu compromiso de seguridad por sus variables de control (lo que la gente de la organización hace para organizar el trabajo, comunicarse y fijar estándares) y no solo por la variable dependiente (incidentes y accidentes).	El libro distingue variables de control y resultado y critica gestionar por el resultado; hablar de 'indicadores de proceso' concreta esa idea sin cifras ni herramientas nuevas.
DK1-008	OPERATIVO	L646-L646	So make sure you have people involved in the aftermath of an incident who know the messy details, and who have credibility in the eyes of other practitioners.		Asegúrate de que en la respuesta a un incidente participen personas que conozcan los detalles desordenados del trabajo y tengan credibilidad ante los demás practicantes.	El libro pide involucrar a quienes conocen los detalles del trabajo; 'recopilar testimonios' de ellos es una concreción en la misma dirección.
DK1-009	OPERATIVO	L572-L580; L3599	And then to publish this account widely throughout the company.		Difunde ampliamente en la empresa el relato de lo ocurrido para que otros aprendan de forma vicaria, sin estigmatizar a los involucrados (que también pueden ser segundas víctimas).	El libro propone publicar el relato en toda la empresa y advierte contra estigmatizar a los involucrados (L3569, L3599); el paso lo generaliza a 'aprendizajes' sin datos nuevos.
DK1-011	OPERATIVO	L2553-L2553; L2091	But your view is subjective and unique (just like the one of the people whose performance you are examining), and just as constrained (though by other things) as the next person’s.		Reconoce que tu mirada como investigador es subjetiva y está limitada, y pregúntate qué sesgos y reacciones al fallo traes al análisis de lo sucedido.	El libro afirma que la mirada del investigador es subjetiva y pide preguntarse por los propios sesgos (L2091); 'dejarlo por escrito' es una forma operativa no mencionada, sin dato nuevo.
DK1-012	OPERATIVO	L3940-L3962; L1946	Rather than trying to reduce that surprise by pinning the responsibility for a problem on a few Bad Apples, they see that the problem tells them something interesting about their organization		Cuestiona si esa solución rápida (reprender, reentrenar, escribir otro procedimiento, añadir tecnología) carga la responsabilidad sobre unas pocas 'manzanas podridas' en lugar de ver el problema como efecto de problemas más profundos de la organización.	La dirección coincide con el libro; pero el libro advierte que la 'causa raíz' es solo donde uno deja de mirar (L1946), por eso el texto fiel habla de problemas más profundos de la organización (L3960, L4028).
DK1-013	OPERATIVO	L3276-L3276	Purpose. Connecting the task to a cause larger than it, or the person doing that task, is a third inner motivator.		Conecta la tarea con una causa más grande que ella misma o que la persona que la hace.	El libro habla de una causa mayor que la tarea o la persona; 'propósito organizacional' la concreta en la organización, en la misma dirección y sin datos nuevos.
DK1-014	OPERATIVO	L3426-L3438	Whichever you believe, or whether you sit somewhere in the middle, it is always wise to not overestimate your control over “culture.”		Sin sobreestimar tu control sobre la 'cultura', decide qué lenguaje, preferencias y prioridades vas a expresar para influirla hacia la Nueva Visión.	El libro no pide definir aspectos concretos a influir; advierte no sobreestimar el control y recuerda que reducir la cultura a actitudes y comportamientos es la visión funcionalista (L3386). Es una concreción razonable, no un dato nuevo.
DK1-016	OPERATIVO	L3533-L3539	Others disincentivize reporting of incidents and injuries by taking away perquisites (loss of overtime opportunities) or stigmatization like mandatory drug testing after an incident.		Revisa si políticas como las pruebas obligatorias de drogas o alcohol tras un incidente desincentivan el reporte de lesiones, como señalan los expertos citados por la GAO.	El libro afirma que esas políticas pueden desincentivar el reporte; pedir evaluarlo es una concreción en la misma dirección.
DK1-017	OPERATIVO	L2397-L2401; L2437; L2457	This obviously “violates” the original procedure, but the “violation” is actually an investment in safety, the creation of a strategy that help forestall failure.		Entiende cuándo adaptar un procedimiento es una inversión en seguridad (como el piloto que armaba los spoilers cuatro segundos después de bajar el tren) y cómo la brecha entre procedimiento y práctica puede crecer con el tiempo (deriva), sin ponerle la etiqueta de 'violación'.	El libro presenta adaptaciones que crean seguridad y la deriva que aleja del diseño; no formula la distinción como tarea, pero el paso la concreta en su dirección.
DK1-022	OPERATIVO	L2381-L2381; L2337	Noticing change on a speed tape is harder than on a round dial. The difference between large changes and small changes are easy to note on a round dial.		Fíjate en si el display permite notar cambios y tendencias y distinguir cambios grandes de pequeños sin trabajo cognitivo extra (los valores digitales y la cinta de velocidad lo dificultan; el dial redondo lo facilita).	El libro describe cómo el formato del display facilita o dificulta notar cambios y tendencias; convertirlo en una evaluación es una concreción en la misma dirección.
DK1-024	FIEL	L1512-L1512	Was P2 distracted or occupied with another task, as was P1? ... So the period of silence may not mark a period of low workload (perhaps the contrary).			El libro señala los silencios en la línea de tiempo y su posible significado: distracción, otra tarea, carga de trabajo.
DK1-027	OPERATIVO	L1989-L1989	Allow the reader to understand what made the difference on the day of the accident.		Explica qué marcó la diferencia el día del accidente (por qué las cosas se salieron de control esa vez) sin recurrir al 'error humano' ni a los 'actos inseguros', que son la salida barata.	El libro pide explicar qué marcó la diferencia ese día sin recurrir al 'error humano'; el paso lo reduce a 'qué hiciste diferente', cuando el libro habla de por qué las condiciones se salieron de control esa vez.
DK1-031	OPERATIVO	L3826-L3826; L591; L631; L3952	drive and guide the establishment incident-reporting systems and just cultures that make sharing and analysis of safety-related information possible.		Impulsa sistemas de reporte de incidentes (por ejemplo confidenciales) y una cultura justa que permitan compartir y analizar información de seguridad sin castigar a quien reporta, sin pretender comprar un programa de 'cultura justa' ya hecho.	El libro apoya los sistemas de reporte y la cultura justa y dice que no se puede aprender y castigar a la vez (L3952), pero advierte que la cultura justa no se compra hecha (L631); el paso concreta en la misma dirección.
DK1-032	FIEL	L1959-L1959	So it may actually be better to think in terms of explanations than causes. Or perhaps even turn to interventions, recommendations, improvements or changes instead.			El libro propone pensar en explicaciones y en recomendaciones o mejoras en lugar de causas; el paso lo parafrasea.
DK1-036	OPERATIVO	L3533-L3535; L3691	Some companies have cash prizes for those who do not report incidents or injuries and offer bonus payments to managers whose departments report low numbers of negative events.		Revisa los programas de incentivos de seguridad para ver si desalientan el reporte de lesiones: premios cuando nadie reporta, premios de grupo que se pierden si alguien reporta, bonos a gerentes por cifras bajas o pérdida de horas extra.	El libro describe esos incentivos y cómo suprimen el reporte; 'auditarlos' es una concreción en la misma dirección sin datos nuevos.
DK1-037	OPERATIVO	L2082-L2084; L1979-L1981	The aim of a distal reach is to explore how aspects of training, documentation, operational or managerial decision making, regulatory influences or industry standards may all have influenced what people at the sharp end saw as making sense at the time.		Documenta cómo los factores distales (formación, documentación, decisiones operativas o de gestión, influencias regulatorias, estándares de la industria) influyeron en lo que la gente en el extremo agudo vio como sensato, sabiendo que cuanto más lejos en espacio y tiempo más difícil es acoplarlos al evento.	El libro pide extender el análisis a los factores distales y trazar sus contribuciones desde el extremo romo; hablar de 'cadena' es una concreción, aunque el libro advierte contra los modelos lineales de cadena (L2786).
DK1-040	FIEL	L1987-L1987	Trace the difference between work as imagined and work as actually done.			El libro pide trazar la diferencia entre el trabajo imaginado (reglas, procedimientos) y el trabajo realmente hecho.
DK1-045	OPERATIVO	L2393-L2395; L3783	Situations may (and often do) occur where multiple procedures need to be applied at once, because multiple things are happening at once. But items in these various procedures may contradict one another.		Identifica situaciones en que hay que aplicar varios procedimientos a la vez y sus ítems se contradicen, o en que ningún procedimiento cubre la combinación, de modo que la adaptación es necesaria.	El libro describe procedimientos que se contradicen en la práctica (y reglas que entran en conflicto, L3783); documentarlos es una concreción en la misma dirección.
DK1-047	OPERATIVO	L3558-L3565; L3580	These are not reasons to reject the vision, but to have more constructive conversations about it		Revisa tu visión cero: un compromiso no es una probabilidad; precisa las variables de control (los aportes de seguridad que cada uno hace) y no solo el resultado.	El libro invita a revisar la visión cero y critica que se defina por el resultado y no por las variables de control; traducirla en acciones controlables es la concreción natural.
DK1-048	FIEL	L1983-L1983	Make sure, through what you find, that you identify the organization’s model(s) of risk, and how the organization thought it could control that risk or those risks.			El libro pide identificar el modelo de riesgo de la organización y en qué invirtió para controlarlo.
DK1-051	CONTRARIO	L822-L833; L2061	But when it comes to explaining behavior, counterfactuals do not contribute.	Usar el razonamiento contrafáctico para explicar por qué los operadores actuaron así; el libro dice que los contrafácticos no explican la conducta y solo pueden servir para recomendar intervenciones contra ese fallo concreto.	No uses el razonamiento contrafáctico para explicar la conducta: decir lo que los operadores podrían o deberían haber hecho no explica por qué hicieron lo que hicieron; los contrafácticos solo pueden servir al recomendar intervenciones contra ese fallo.	El paso aconseja justo lo que el libro desaconseja; no hay pasaje que apoye usar contrafácticos para explicar la conducta (L2061 lo reitera).
DK1-055	FIEL	L1634-L1634	Find out how the values of these parameters were available to people--dials, displays, mode annunciations, alarms, warnings.			El libro pide averiguar cómo estaban disponibles los valores para la gente (diales, displays, alarmas), distinguiendo disponibilidad de observación.
