==========================================================================================
VUELTA 90, TAREA 4 (segunda mitad): ESCRITURA DE OP-E-06, 114 PARES
==========================================================================================
puesto 497    | ESCRITA        | fit_problema_solucion -> verificar_product_market_fit (resuelto: sin alias)
puesto 530    | ESCRITA        | estrategia_de_innovacion_de_producto -> estrategia_de_innovacion_y_tecnologia (resuelto: sin alias)
puesto 552    | ESCRITA        | preparacion_materiales_fundraising -> executive_summary_inversion (resuelto: sin alias)
puesto 855    | ESCRITA        | customer_development_process -> customer_validation (resuelto: sin alias)
puesto 912    | ESCRITA        | customer_development_modelo -> actualizar_modelo_de_negocio_pivot_o_proceed (resuelto: sin alias)
puesto 949    | ESCRITA        | composicion_board_directors -> fundadores_en_junta_directiva (resuelto: sin alias)
puesto 956    | ESCRITA        | pivote_o_proceder -> verificar_product_market_fit (resuelto: pivotar_o_proceder -> verificar_product_market_fit)
puesto 979    | ESCRITA        | design_thinking_fundamentos -> identificar_pensadores_de_diseno_internos (resuelto: sin alias)
puesto 981    | ESCRITA        | prototyping_possibilities -> mvp_catalogo_tecnicas (resuelto: sin alias)
puesto 986    | ESCRITA        | customer_development_process -> ganar_comprension_del_cliente (resuelto: sin alias)
puesto 1002   | ESCRITA        | catalogo_pivotes -> reempaquetado_producto (resuelto: sin alias)
puesto 1012   | ESCRITA        | estrategia_multicanal_bienvenida -> seis_canales_comunicacion_assess (resuelto: seis_medios_comunicacion_cliente -> seis_canales_comunicacion_assess)
puesto 1013   | ESCRITA        | equipo_multifuncional_real -> equipos_pequenos_vs_grandes (resuelto: diseno_organizacional_equipos_innovacion -> equipos_pequenos_vs_grandes)
puesto 1058   | ESCRITA        | seleccion_relaciones_cofundadores -> cofundar_con_amigos_familia_riesgos (resuelto: sin alias)
puesto 1078   | ESCRITA        | customer_discovery -> producto_minimo_viable (resuelto: sin alias)
puesto 1079   | ESCRITA        | filosofia_customer_validation -> get_out_building_test_sell (resuelto: sin alias)
puesto 1084   | ESCRITA        | filosofia_customer_validation -> customer_validation_sales_roadmap (resuelto: sin alias)
puesto 1094   | ESCRITA        | customer_discovery_cuatro_fases -> verificar_product_market_fit (resuelto: sin alias)
puesto 1095   | ESCRITA        | design_test_repeat -> determine_what_to_prototype (resuelto: sin alias)
puesto 1118   | ESCRITA        | customer_development_process -> verificar_product_market_fit (resuelto: sin alias)
puesto 1127   | ESCRITA        | gestion_portafolio_foco -> pruning_portafolio (resuelto: sin alias)
puesto 1134   | ESCRITA        | prototyping_possibilities -> construir_mvp_baja_fidelidad (resuelto: sin alias)
puesto 1143   | ESCRITA        | customer_discovery_overview -> validar_modelo_negocio_hechos (resuelto: sin alias)
puesto 1144   | ESCRITA        | ingenieria_de_prompts_efectiva -> prompting_por_persona_ia (resuelto: sin alias)
puesto 1149   | ESCRITA        | enfoque_etapa_investigacion -> preparacion_preguntas_problema_precall (resuelto: sin alias)
puesto 1151   | ESCRITA        | gestion_portafolio_dos_niveles -> revision_portafolio_periodica (resuelto: sin alias)
puesto 1160   | ESCRITA        | pivote_o_proceder -> realizar_pruebas_pasa_no_pasa (resuelto: pivotar_o_proceder -> realizar_pruebas_pasa_no_pasa)
puesto 1169   | ESCRITA        | encontrar_vc_adecuado -> embudo_secuencial_de_inversores (resuelto: encontrar_vc_adecuado -> seleccion_etapa_fondo_vc)
puesto 1170   | ESCRITA        | customer_discovery_cuatro_fases -> actualizar_modelo_de_negocio_pivot_o_proceed (resuelto: sin alias)
puesto 1171   | ESCRITA        | customer_development_process -> get_out_of_the_building (resuelto: sin alias)
puesto 1186   | ESCRITA        | evaluacion_tipos_inversores -> financiamiento_venture_capital (resuelto: sin alias)
puesto 1199   | ESCRITA        | power_of_nine_agile -> roles_product_owner_scrum_master (resuelto: sin alias)
puesto 1200   | ESCRITA        | principios_lean_startup -> startup_como_experimento_cientifico (resuelto: sin alias)
puesto 1207   | ESCRITA        | search_for_business_model -> romper_vision_en_experimentos (resuelto: customer_development_vs_business_plan -> romper_vision_en_experimentos)
puesto 1209   | ESCRITA        | pivote_startup -> pivot_post_ventas (resuelto: sin alias)
puesto 1212   | ESCRITA        | obtencion_de_compromiso -> compromiso_linea_tiempo_cliente (resuelto: sin alias)
puesto 1218   | ESCRITA        | sales_operations_planning -> sop_colaborativo (resuelto: sin alias)
puesto 1226   | ESCRITA        | metricas_de_adquisicion_activacion -> metricas_accionables (resuelto: sin alias)
puesto 1236   | ESCRITA        | gestion_portafolio_foco -> analisis_de_capacidad_de_recursos (resuelto: sin alias)
puesto 1239   | ESCRITA        | comprension_capacidades_limitaciones_ia -> human_in_the_loop_ia (resuelto: sin alias)
puesto 1241   | ESCRITA        | gestion_portafolio_formal -> portfolio_management_triangulation (resuelto: sin alias)
puesto 1253   | ESCRITA        | stage_gate_system -> stage_gate_tipos_proyectos (resuelto: sin alias)
puesto 1261   | ESCRITA        | customer_development_modelo -> voz_del_cliente_voc (resuelto: sin alias)
puesto 1264   | ESCRITA        | construir_mvp_baja_fidelidad -> mvp_tipo_video (resuelto: sin alias)
puesto 1270   | ESCRITA        | pensamiento_convergente_divergente -> deadlines_como_herramienta_convergencia (resuelto: generar_multiples_opciones -> deadlines_como_herramienta_convergencia)
puesto 1283   | ESCRITA        | customer_development_process -> problem_solution_fit (resuelto: sin alias)
puesto 1286   | ESCRITA        | warrant_pricing_venture_debt -> original_issue_discount_oid (resuelto: warrants_deuda_convertible -> original_issue_discount_oid)
puesto 1300   | ESCRITA        | actualizar_modelo_de_negocio_pivot_o_proceed -> problem_solution_fit (resuelto: sin alias)
puesto 1309   | ESCRITA        | eleccion_ritmo_crecimiento -> decision_autofinanciamiento_vs_inversion (resuelto: sin alias)
puesto 1314   | ESCRITA        | customer_discovery_overview -> prueba_solucion_con_cliente (resuelto: sin alias)
puesto 1329   | ESCRITA        | customer_development_process -> customer_validation_sales_roadmap (resuelto: sin alias)
puesto 1336   | ESCRITA        | cuatro_etapas_llamada_de_ventas -> apertura_llamada_venta_grande (resuelto: sin alias)
puesto 1340   | ESCRITA        | transicion_jerarquia_startup -> seleccion_ceo_fundador (resuelto: sin alias)
puesto 1341   | ESCRITA        | sistema_gates_go_kill -> tipos_criterios_gate (resuelto: sin alias)
